0000020010120170726PRAUD2*Q17 18481120170801000000000000000006000000000000062543784000001975670000000610000000050000041600000+0000000000000+00000000+02502000+02502000+02519400+0250576100001+0251540016580020170726+02517300+00000000+0000025122910S+0000025163530 00000000243720000000000000000000000000000000000000000003400000002-00040620-0000000000000000000000000000000000000000000000040000600004    0000000000000000000000000000000000001                    AUDQ17              EMERC2017073120170801+0000002365400+0000002667300
0000040010120170726PRAUD2*U17 18481120170901000000000000000006000000000000058604916000001851246700000210000000040000038800000+0000000000000+00000000+02515000+02515000+02527800+0251739300058+0252770017400020170726+02490100+00000000+0000025271690S+0000025314360 00000000256020000000000000000000000000000000000000000003400000002-00042670-0000000000000000000000000000000000000000000000270003700027    0000000000000000000000000000000000002                    AUDU17              EMERC2017083120170901+0000002379600+0000002683300
0000060010120170726PRAUD2*V17 18481120171002000000000000000006000000000000000000000000000000000000000786000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170725+02541000+00000000+0000025375530S+0000025420930 00000000272400000000000000000000000000000000000000000003400000002-00045400-0000000000000000000000000000000000000000000000470006800047    0000000000000000000000000000000000003                    AUDV17              EMERC2017092920171002+0000002389600+0000002694600
0000080010120170726PRBGI2*F18 18481120180131000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170323+00013950+00000000+0000000013171 +0000000013183 00000000000000000000000000000000000000000000000000000002200000001-00000012-0000000000000000000000000000000000000000000001290018900126    0000000000000000000000000000000000000                    BGIF18              EMERC2018013120180201+0000000012722+0000000013644
0000100010120170726PRBGI2*K18 18481120180530000000000000000033000000000000000000000000000000000000000095000000000000000000000+0001334000000+00013500+00000000+00000000+00000000+0000000000000+0000000000000020170725+00013400+00000000+0000000013429S+0000000013489 00000000198000000000000000000000000000000000000000000002200000004-00000060-0000000000000000000000000000000000000000000002100030800207    0000000000000000000000000020180530007                    BGIK18              EMERC2018053020180601+0000000013017+0000000013961
0000120010120170726PRBGI2*N17 18481120170731000000000000000033000000000000047041912000001495720700001394000001170000115200000+0001238000000+00012389+00012420+00012352+00012420+0001237400002+0001239016260020170726+00012440+00000000+0000000012387S+0000000012418 00000000102300000000000000000000000000000000000000000002200000003-00000031-0000000000000000000000000000000000000000000000030000500003    0000000000000000000000000020170731001                    BGIN17              EMERC2017073120170801+0000000011984+0000000012852
0000140010120170726PRBGI2*Q17 18481120170831000000000000000033000000000000012183065000000387366500000666000000540000028900000+0001277000000+00012815+00012850+00012700+00012850+0001277500050+0001276016260020170726+00012850+00000000+0000000012776S+0000000012850 00000000244200000000000000000000000000000000000000000002200000006-00000074-0000000000000000000000000000000000000000000000260003600026    0000000000000000000000000020170831002                    BGIQ17              EMERC2017083120170901+0000000012401+0000000013299
0000160010120170726PRBGI2*U17 18481120170929000000000000000033000000000000000130069000000004135600000132000000030000000300000+0000000000000+00013328+00013175+00013090+00013175+0001313800001+0001315015500020170726+00013179+00000000+0000000013210S+0000000013175 00000000115500000000000000000000000000000000000000000002200000003+00000035+0000000000000000000000000000000000000000000000460006500046    0000000000000000000000000020170929003                    BGIU17              EMERC2017092920171002+0000000012714+0000000013636
0000180010120170726PRBGI2*V17 18481120171031000000000000000033000000000000082433003000002620997800005039000003560000187400000+0001340600000+00013420+00013375+00013270+00013448+0001333000002+0001342016290020170726+00013390+00000000+0000000013424S+0000000013388 00000000118800000000000000000000000000000000000000000002200000003+00000036+0000000000000000000000000000000000000000000000670009700067    0000000000000000000000000020171031004                    BGIV17              EMERC2017103120171101+0000000012920+0000000013856
0000200010120170726PRBGI2*V18 18481120181031000000000000000033000000000000000138451000000004402100000058000000020000000300000+0001383000000+00014000+00013985+00013985+00013985+0001398500002+0001398515410020170726+00013890+00000000+0000000013933S+0000000013993 00000000198000000000000000000000000000000000000000000002200000004-00000060-0000000000000000000000000000000000000000000003170046200313    0000000000000000000000000020181031008                    BGIV18              EMERC2018103120181101+0000000013504+0000000014482
0000220010120170726PRBGI2*X17 18481120171130000000000000000033000000000000000264115000000008397700000143000000030000000600000+0001340600000+00013470+00013400+00013327+00013400+0001333900001+0001332711150020170726+00013395+00000000+0000000013432S+0000000013396 00000000118800000000000000000000000000000000000000000002200000003+00000036+0000000000000000000000000000000000000000000000870012700086    0000000000000000000000000020171130005                    BGIX17              EMERC2017113020171201+0000000012928+0000000013864
0000240010120170726PRBGI2*Z17 18481120171228000000000000000033000000000000000000000000000000000000000003000000000000000000000+0000000000000+00013470+00000000+00000000+00000000+0000000000000+0000000000000020170717+00012900+00000000+0000000013446S+0000000013410 00000000118800000000000000000000000000000000000000000002200000003+00000036+0000000000000000000000000000000000000000000001060015500105    0000000000000000000000000020171228006                    BGIZ17              EMERC2017122820180102+0000000012941+0000000013879
0000260010120170726PRBGI4CFLIP18481120180131000000001305000033000000000000000000000000000000000000000010000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170721+00000500+00000000+0000000000000 +0000000000582 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000001290018900126F18 0000000000000000000000000000000000000                    BGIF18C013050       EMERC2018013120180201+0000000000000+0000000000000
0000280010120170726PRBGI4CNKIL18481120170731000000001340000033000000000000000000000000000000000000000040000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170518+00000200+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C013400       EMERC2017073120170801+0000000000000+0000000000000
0000300010120170726PRBGI4CNKIN18481120170731000000001250000033000000000000000000000000000000000000000445000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170717+00000040+00000000+0000000000000 +0000000000038 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C012500       EMERC2017073120170801+0000000000000+0000000000000
0000320010120170726PRBGI4CNKIQ18481120170731000000001260000033000000000000000000000000000000000000000200000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170718+00000005+00000000+0000000000000 +0000000000016 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C012600       EMERC2017073120170801+0000000000000+0000000000000
0000340010120170726PRBGI4CNKIS18481120170731000000001270000033000000000000000000000000000000000000000110000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170629+00000001+00000000+0000000000000 +0000000000005 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C012700       EMERC2017073120170801+0000000000000+0000000000000
0000360010120170726PRBGI4CNKIV18481120170731000000001280000033000000000000000000000000000000000000000070000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170613+00000067+00000000+0000000000000 +0000000000002 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C012800       EMERC2017073120170801+0000000000000+0000000000000
0000380010120170726PRBGI4CNKIX18481120170731000000001290000033000000000000000000000000000000000000000150000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170705+00000005+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C012900       EMERC2017073120170801+0000000000000+0000000000000
0000400010120170726PRBGI4CNKIZ18481120170731000000001305000033000000000000000000000000000000000000000003000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170602+00000185+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C013050       EMERC2017073120170801+0000000000000+0000000000000
0000420010120170726PRBGI4CNKI018481120170731000000001350000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170607+00000005+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C013500       EMERC2017073120170801+0000000000000+0000000000000
0000440010120170726PRBGI4CNKI118481120170731000000001360000033000000000000000000000000000000000000000081000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170612+00000005+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C013600       EMERC2017073120170801+0000000000000+0000000000000
0000460010120170726PRBGI4CNKI218481120170731000000001370000033000000000000000000000000000000000000000045000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170531+00000015+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C013700       EMERC2017073120170801+0000000000000+0000000000000
0000480010120170726PRBGI4CNKI318481120170731000000001380000033000000000000000000000000000000000000000031000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170531+00000010+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C013800       EMERC2017073120170801+0000000000000+0000000000000
0000500010120170726PRBGI4CNKI418481120170731000000001390000033000000000000000000000000000000000000000029000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170425+00000150+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C013900       EMERC2017073120170801+0000000000000+0000000000000
0000520010120170726PRBGI4CNKI518481120170731000000001400000033000000000000000000000000000000000000000058000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170608+00000002+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C014000       EMERC2017073120170801+0000000000000+0000000000000
0000540010120170726PRBGI4CNKJL18481120170731000000001240000033000000000000000000000000000000000000000003000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170628+00000200+00000000+0000000000000 +0000000000081 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C012400       EMERC2017073120170801+0000000000000+0000000000000
0000560010120170726PRBGI4CNKJM18481120170731000000001245000033000000000000000000000000000000000000000065000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170718+00000040+00000000+0000000000000 +0000000000057 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17C012450       EMERC2017073120170801+0000000000000+0000000000000
0000580010120170726PRBGI4VNKMV18481120170731000000001280000033000000000000000000000000000000000000000146000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170605+00000140+00000000+0000000000000 +0000000000383 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17P012800       EMERC2017073120170801+0000000000000+0000000000000
0000600010120170726PRBGI4VNKM018481120170731000000001350000033000000000000000000000000000000000000000011000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170531+00000522+00000000+0000000000000 +0000000001080 00000000000000000000089100000000002814500000001000000022200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17P013500       EMERC2017073120170801+0000000000000+0000000000000
0000620010120170726PRBGI4VNKM118481120170731000000001360000033000000000000000000000000000000000000000048000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170524+00000555+00000000+0000000000000 +0000000001180 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17P013600       EMERC2017073120170801+0000000000000+0000000000000
0000640010120170726PRBGI4VNKM218481120170731000000001370000033000000000000000000000000000000000000000031000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170508+00000245+00000000+0000000000000 +0000000001280 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17P013700       EMERC2017073120170801+0000000000000+0000000000000
0000660010120170726PRBGI4VNKM318481120170731000000001380000033000000000000000000000000000000000000000029000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170425+00000260+00000000+0000000000000 +0000000001380 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17P013800       EMERC2017073120170801+0000000000000+0000000000000
0000680010120170726PRBGI4VNKM418481120170731000000001390000033000000000000000000000000000000000000000002000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170419+00000230+00000000+0000000000000 +0000000001480 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000030000500003N17 0000000000000000000000000000000000000                    BGIN17P013900       EMERC2017073120170801+0000000000000+0000000000000
