0000020010120160722PRACF2*U16 19183720160915000000000000000050800000000000000000000000000000000000000068000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160718+00008450+00000000+0000000008486S+0000000008443 00000000218440000000000000000000000000000000000000000002200000005+00000043+0000000000000000000000000000000000000000000000380005500038    0000000000000000000000000020160915001                    ACFU16              EMERC2016091520160916+0000000007895+0000000008991
0000040010120160722PRACF2*Z16 19183720161215000000000000000050800000000000000000000000000000000000000030000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160620+00008700+00000000+0000000008570S+0000000008523 00000000238760000000000000000000000000000000000000000002200000006+00000047+0000000000000000000000000000000000000000000001000014600100    0000000000000000000000000020161215002                    ACFZ16              EMERC2016121520161216+0000000007970+0000000009076
0000060010120160722PRAUD2*Q16 19183720160801000000000000000006000000000000001612770000000049089000003015000000040000001100000+0000000000000+00000000+02449500+02436500+02449500+0244359100004+0243650017470020160722+02465000+00000000+0000024516990S+0000024660210 00000000859320000000000000000000000000000000000000000003400000006-00143220-0000000000000000000000000000000000000000000000060001000006    0000000000000000000000000000000000001                    AUDQ16              EMERC2016072920160801+0000002318100+0000002613900
0000080010120160722PRAUD2*U16 19183720160901000000000000000006000000000000000000000000000000000000000160000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160713+02539500+00000000+0000024730070S+0000024884750 00000000928080000000000000000000000000000000000000000003400000006-00154680-0000000000000000000000000000000000000000000000290004100029    0000000000000000000000000000000000002                    AUDU16              EMERC2016083120160901+0000002339200+0000002637700
0000100010120160722PRAUD2*V16 19183720161003000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000024929260 +0000025082090 00000000000000000000000000000000000000000000000000000003400000006-00152830-0000000000000000000000000000000000000000000000500007300050    0000000000000000000000000000000000003                    AUDV16              EMERC2016093020161003+0000002357800+0000002658700
0000120010120160722PRBGI2*F17 19183720170131000000000000000033000000000000000000000000000000000000000099000000000000000000001+0001570000020+00016000+00000000+00000000+00000000+0000000000000+0000000000000020160711+00016398+00000000+0000000016015S+0000000016043 00000000092400000000000000000000000000000000000000000002200000002-00000028-0000000000000000000000000000000000000000000001330019300131    0000000000000000000000000020170131007                    BGIF17              EMERC2017013120170201+0000000015455+0000000016575
0000140010120160722PRBGI2*G17 19183720170224000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000015555 +0000000015577 00000000000000000000000000000000000000000000000000000002200000001-00000022-0000000000000000000000000000000000000000000001510021700149    0000000000000000000000000000000000000                    BGIG17              EMERC2017022420170301+0000000015011+0000000016099
0000160010120160722PRBGI2*K17 19183720170531000000000000000033000000000000001098391000000033487500000404000000060000002200005+0001513000025+00015275+00015116+00015116+00015130+0001512900005+0001513016220020160722+00015135+00000000+0000000015130S+0000000015130 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000002140031300212    0000000000000000000000000020170531008                    BGIK17              EMERC2017053120170601+0000000014601+0000000015659
0000180010120160722PRBGI2*N16 19183720160729000000000000000033000000000000006585935000000200790700002781000000120000012900016+0001546500005+00015500+00015460+00015460+00015500+0001547100084+0001546515590020160722+00015488+00000000+0000000015471S+0000000015486 00000000049500000000000000000000000000000000000000000002200000001-00000015-0000000000000000000000000000000000000000000000050000700005    0000000000000000000000000020160729001                    BGIN16              EMERC2016072920160801+0000000014930+0000000016012
0000200010120160722PRBGI2*Q16 19183720160831000000000000000033000000000000004988068000000152075200002929000000180000009700050+0001555500055+00015580+00015552+00015552+00015600+0001558300004+0001557015260020160722+00015615+00000000+0000000015584S+0000000015615 00000000102300000000000000000000000000000000000000000002200000002-00000031-0000000000000000000000000000000000000000000000280004000028    0000000000000000000000000020160831002                    BGIQ16              EMERC2016083120160901+0000000015039+0000000016129
0000220010120160722PRBGI2*U16 19183720160930000000000000000033000000000000000312457000000009526100000451000000060000000600001+0001572100003+00015796+00015750+00015750+00015796+0001578100001+0001579616130020160722+00015765+00000000+0000000015796S+0000000015765 00000000102300000000000000000000000000000000000000000002200000002+00000031+0000000000000000000000000000000000000000000000490007000049    0000000000000000000000000020160930003                    BGIU16              EMERC2016093020161003+0000000015244+0000000016348
0000240010120160722PRBGI2*V16 19183720161031000000000000000033000000000000021080383000000642694600009630000000870000040000005+0001595000007+00015966+00016022+00015945+00016022+0001597000002+0001596515580020160722+00016020+00000000+0000000015980S+0000000016022 00000000138600000000000000000000000000000000000000000002200000003-00000042-0000000000000000000000000000000000000000000000690010100069    0000000000000000000000000020161031004                    BGIV16              EMERC2016103120161101+0000000015421+0000000016539
0000260010120160722PRBGI2*V17 19183720171031000000000000000033000000000000000106705000000003253200000071000000020000000200025+0001600000009+00016100+00016235+00016100+00016235+0001616800001+0001610016250020160722+00016100+00000000+0000000016100S+0000000016087 00000000042900000000000000000000000000000000000000000002200000001+00000013+0000000000000000000000000000000000000000000003200046600318    0000000000000000000000000020171031009                    BGIV17              EMERC2017103120171101+0000000015537+0000000016663
0000280010120160722PRBGI2*X16 19183720161130000000000000000033000000000000004377615000000133463900001139000000160000008300010+0001595500010+00015960+00015995+00015950+00015995+0001598300001+0001596016160020160722+00015997+00000000+0000000015960S+0000000015997 00000000122100000000000000000000000000000000000000000002200000002-00000037-0000000000000000000000000000000000000000000000890013100089    0000000000000000000000000020161130005                    BGIX16              EMERC2016113020161201+0000000015402+0000000016518
0000300010120160722PRBGI2*Z16 19183720161229000000000000000033000000000000002626800000000080085400000528000000080000005000457+0001592000005+00016000+00015920+00015920+00015920+0001592000010+0001592016180020160722+00015900+00000000+0000000015920S+0000000015976 00000000184800000000000000000000000000000000000000000002200000004-00000056-0000000000000000000000000000000000000000000001100016000110    0000000000000000000000000020161229006                    BGIZ16              EMERC2016122920170102+0000000015363+0000000016477
0000320010120160722PRBGI4VFKM019183720170131000000001500000033000000000000000000000000000000000000000170000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160310+00000140+00000000+0000000000052 +0000000000050 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000001330019300131F17 0000000000000000000000000000000000000                    BGIF17P015000       EMERC2017013120170201+0000000000000+0000000000000
0000340010120160722PRBGI4CKKIB19183720170531000000001550000033000000000000000000000000000000000000000070000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160721+00000285+00000000+0000000000271 +0000000000272 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000002140031300212K17 0000000000000000000000000000000000000                    BGIK17C015500       EMERC2017053120170601+0000000000000+0000000000000
0000360010120160722PRBGI4VKKM019183720170531000000001500000033000000000000000000000000000000000000000070000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160721+00000285+00000000+0000000000354 +0000000000355 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000002140031300212K17 0000000000000000000000000000000000000                    BGIK17P015000       EMERC2017053120170601+0000000000000+0000000000000
0000380010120160722PRBGI4CNJIF19183720160729000000001615000033000000000000000000000000000000000000000007000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160623+00000110+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16C016150       EMERC2016072920160801+0000000000000+0000000000000
0000400010120160722PRBGI4CNJIG19183720160729000000001620000033000000000000000000000000000000000000000015000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160405+00000070+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16C016200       EMERC2016072920160801+0000000000000+0000000000000
0000420010120160722PRBGI4CNJIJ19183720160729000000001630000033000000000000000000000000000000000000000170000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160711+00000001+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16C016300       EMERC2016072920160801+0000000000000+0000000000000
0000440010120160722PRBGI4CNJIK19183720160729000000001635000033000000000000000000000000000000000000000020000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160617+00000089+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16C016350       EMERC2016072920160801+0000000000000+0000000000000
0000460010120160722PRBGI4CNJIN19183720160729000000001650000033000000000000000000000000000000000000000050000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160530+00000051+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16C016500       EMERC2016072920160801+0000000000000+0000000000000
0000480010120160722PRBGI4CNJI019183720160729000000001590000033000000000000000000000000000000000000000011000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160524+00000404+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16C015900       EMERC2016072920160801+0000000000000+0000000000000
0000500010120160722PRBGI4CNJI119183720160729000000001600000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160621+00000200+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16C016000       EMERC2016072920160801+0000000000000+0000000000000
0000520010120160722PRBGI4CNJI219183720160729000000001610000033000000000000000000000000000000000000000020000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160622+00000075+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16C016100       EMERC2016072920160801+0000000000000+0000000000000
0000540010120160722PRBGI4CNJI719183720160729000000001570000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160606+00000468+00000000+0000000000003 +0000000000005 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16C015700       EMERC2016072920160801+0000000000000+0000000000000
0000560010120160722PRBGI4CNJJ119183720160729000000001660000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160623+00000004+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16C016600       EMERC2016072920160801+0000000000000+0000000000000
0000580010120160722PRBGI4VNJMW19183720160729000000001530000033000000000000000000000000000000000000000165000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160623+00000001+00000000+0000000000005 +0000000000005 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16P015300       EMERC2016072920160801+0000000000000+0000000000000
0000600010120160722PRBGI4VNJMX19183720160729000000001535000033000000000000000000000000000000000000000035000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160331+00000125+00000000+0000000000009 +0000000000010 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16P015350       EMERC2016072920160801+0000000000000+0000000000000
0000620010120160722PRBGI4VNJMY19183720160729000000001540000033000000000000000000000000000000000000000140000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160624+00000005+00000000+0000000000018 +0000000000018 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000050000700005N16 0000000000000000000000000000000000000                    BGIN16P015400       EMERC2016072920160801+0000000000000+0000000000000
