0000020010120160531PRACF2*M16 19281520160615000000000000000050800000000000000000000000000000000000000447000000000000000000030+0000757000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160525+00007700+00000000+0000000007791S+0000000007807 00000000081280000000000000000000000000000000000000000002200000002-00000016-0000000000000000000000000000000000000000000000110001500011    0000000000000000000000000020160615001                    ACFM16              EMERC2016061520160616+0000000007300+0000000008314
0000040010120160531PRACF2*U16 19281520160915000000000000000050800000000000000000000000000000000000000473000000000000000000030+0000745000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160520+00007598+00000000+0000000007669S+0000000007683 00000000071120000000000000000000000000000000000000000002200000002-00000014-0000000000000000000000000000000000000000000000760010700076    0000000000000000000000000020160915002                    ACFU16              EMERC2016091520160916+0000000007184+0000000008182
0000060010120160531PRACF2*Z16 19281520161215000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000008060 +0000000008076 00000000000000000000000000000000000000000000000000000002200000002-00000016-0000000000000000000000000000000000000000000001380019800138    0000000000000000000000000000000000000                    ACFZ16              EMERC2016121520161216+0000000007552+0000000008600
0000080010120160531PRAUD2*M16 19281520160601000000000000000006000000000000000773100000000021504300001413000000010000000500000+0000000000000+00000000+02577000+02577000+02577000+0257700000005+0257700009310020160531+02583400+00000000+0000026044700S+0000025731400 00000001879800000000000000000000000000000000000000000003400000012+00313300+0000000000000000000000000000000000000000000000010000100001    0000000000000000000000000000000000001                    AUDM16              EMERC2016053120160601+0000000000100+0000999999100
0000100010120160531PRAUD2*N16 19281520160701000000000000000006000000000000002512224000000069879100000368000000040000001600000+0000000000000+00000000+02597000+02597000+02626000+0261690000005+0262600010140020160531+02594800+00000000+0000026350220S+0000025942360 00000002447160000000000000000000000000000000000000000003400000016+00407860+0000000000000000000000000000000000000000000000230003100023    0000000000000000000000000000000000002                    AUDN16              EMERC2016063020160701+0000002438600+0000002749800
0000120010120160531PRAUD2*Q16 19281520160801000000000000000006000000000000006053592000000168384500002434000000060000003800000+0000000000000+00000000+02642300+02642300+02660500+0265508400012+0266000016350020160531+02610000+00000000+0000026547830S+0000026136510 00000002467920000000000000000000000000000000000000000003400000016+00411320+0000000000000000000000000000000000000000000000440006200044    0000000000000000000000000000000000003                    AUDQ16              EMERC2016072920160801+0000002456900+0000002770400
0000140010120160531PRBGI2*F17 19281520170131000000000000000033000000000000000000000000000000000000000098000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160527+00016700+00000000+0000000016628S+0000000016718 00000000297000000000000000000000000000000000000000000002200000005-00000090-0000000000000000000000000000000000000000000001710024500169    0000000000000000000000000020170131008                    BGIF17              EMERC2017013120170201+0000000016133+0000000017303
0000160010120160531PRBGI2*K16 19281520160531000000000000000033000000000000009821400000000270890300003493000000660000019200011+0001549600058+00015500+00015540+00015490+00015540+0001550100010+0001550015540020160531+00015540+00000000+0000000015496S+0000000015540 00000000145200000000000000000000000000000000000000000002200000003-00000044-0000000000000000000000000000000000000000000000000000000000    0000000000000000000000000020160531000                    BGIK16              EMERC2016053120160601+0000000000001+0000099999901
0000180010120160531PRBGI2*K17 19281520170531000000000000000033000000000000000264478000000007294700000131000000010000000500005+0001585000025+00016030+00016029+00016029+00016029+0001602900005+0001602914330020160531+00015901+00000000+0000000015940S+0000000016023 00000000273900000000000000000000000000000000000000000002200000005-00000083-0000000000000000000000000000000000000000000002520036500250    0000000000000000000000000020170531009                    BGIK17              EMERC2017053120170601+0000000015463+0000000016583
0000200010120160531PRBGI2*M16 19281520160630000000000000000033000000000000028130322000000775880500001197000001180000054000010+0001577000016+00015780+00015824+00015751+00015824+0001578600002+0001578016120020160531+00015824+00000000+0000000015780S+0000000015824 00000000145200000000000000000000000000000000000000000002200000003-00000044-0000000000000000000000000000000000000000000000220003000022    0000000000000000000000000020160630001                    BGIM16              EMERC2016063020160701+0000000015271+0000000016377
0000220010120160531PRBGI2*N16 19281520160729000000000000000033000000000000006596472000000181941500001464000000330000012400003+0001612100050+00016139+00016200+00016100+00016200+0001612000004+0001612116150020160531+00016182+00000000+0000000016121S+0000000016182 00000000201300000000000000000000000000000000000000000002200000004-00000061-0000000000000000000000000000000000000000000000430005900043    0000000000000000000000000020160729002                    BGIN16              EMERC2016072920160801+0000000015616+0000000016748
0000240010120160531PRBGI2*Q16 19281520160831000000000000000033000000000000005435057000000149907800001048000000140000010100001+0001628300025+00016299+00016344+00016299+00016344+0001630700005+0001629916170020160531+00016344+00000000+0000000016299S+0000000016344 00000000148500000000000000000000000000000000000000000002200000003-00000045-0000000000000000000000000000000000000000000000660009200066    0000000000000000000000000020160831003                    BGIQ16              EMERC2016083120160901+0000000015772+0000000016916
0000260010120160531PRBGI2*U16 19281520160930000000000000000033000000000000000108315000000002987500000166000000020000000200001+0001639000001+00016433+00016423+00016400+00016423+0001641200001+0001640009410020160531+00016423+00000000+0000000016450S+0000000016423 00000000089100000000000000000000000000000000000000000002200000002+00000027+0000000000000000000000000000000000000000000000870012200087    0000000000000000000000000020160930004                    BGIU16              EMERC2016093020161003+0000000015849+0000000016997
0000280010120160531PRBGI2*V16 19281520161031000000000000000033000000000000044361474000001223562300007694000002010000080900031+0001660000006+00016609+00016631+00016570+00016650+0001661700019+0001660015590020160531+00016636+00000000+0000000016619S+0000000016640 00000000069300000000000000000000000000000000000000000002200000001-00000021-0000000000000000000000000000000000000000000001070015300107    0000000000000000000000000020161031005                    BGIV16              EMERC2016103120161101+0000000016058+0000000017222
0000300010120160531PRBGI2*V17 19281520171031000000000000000033000000000000000000000000000000000000000026000000000000000000001+0001705700025+00017300+00000000+00000000+00000000+0000000000000+0000000000000020160520+00017280+00000000+0000000017204S+0000000017294 00000000297000000000000000000000000000000000000000000002200000005-00000090-0000000000000000000000000000000000000000000003580051800356    0000000000000000000000000020171031010                    BGIV17              EMERC2017103120171101+0000000016689+0000000017899
0000320010120160531PRBGI2*X16 19281520161130000000000000000033000000000000002077379000000057297500000885000000200000003800006+0001655000010+00016621+00016590+00016550+00016650+0001656600005+0001655016210020160531+00016650+00000000+0000000016550S+0000000016650 00000000330000000000000000000000000000000000000000000002200000006-00000100-0000000000000000000000000000000000000000000001270018300127    0000000000000000000000000020161130006                    BGIX16              EMERC2016113020161201+0000000016068+0000000017232
0000340010120160531PRBGI2*Z16 19281520161229000000000000000033000000000000000000000000000000000000000348000000000000000000000+0000000000001+00016650+00000000+00000000+00000000+0000000000000+0000000000000020160530+00016570+00000000+0000000016477S+0000000016570 00000000306900000000000000000000000000000000000000000002200000006-00000093-0000000000000000000000000000000000000000000001480021200148    0000000000000000000000000020161229007                    BGIZ16              EMERC2016122920170102+0000000015991+0000000017149
0000360010120160531PRBGI4VFKM019281520170131000000001500000033000000000000000000000000000000000000000170000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160310+00000140+00000000+0000000000024 +0000000000021 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000001710024500169F17 0000000000000000000000000000000000000                    BGIF17P015000       EMERC2017013120170201+0000000000000+0000000000000
0000380010120160531PRBGI4CKJID19281520160531000000001480000033000000000000000000000000000000000000000400000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020151022+00000347+00000000+0000000000696 +0000000000740 00000000000000000019536000000000543406300000002000004002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C014800       EMERC2016053120160601+0000000000000+0000000000000
0000400010120160531PRBGI4CKJIF19281520160531000000001490000033000000000000000000000000000000000000000025000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160303+00000460+00000000+0000000000596 +0000000000640 00000000000000000001229250000000034192400000002000000252200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C014900       EMERC2016053120160601+0000000000000+0000000000000
0000420010120160531PRBGI4CKJIG19281520160531000000001510000033000000000000000000000000000000000000000068000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160328+00000685+00000000+0000000000396 +0000000000440 00000000000000000003388440000000094251600000005000000682200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C015100       EMERC2016053120160601+0000000000000+0000000000000
0000440010120160531PRBGI4CKJIH19281520160531000000001520000033000000000000000000000000000000000000000163000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160322+00000498+00000000+0000000000296 +0000000000340 00000000000000000008176080000000227422900000005000001632200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C015200       EMERC2016053120160601+0000000000000+0000000000000
0000460010120160531PRBGI4CKJIJ19281520160531000000001530000033000000000000000000000000000000000000000808000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020151228+00000140+00000000+0000000000196 +0000000000240 00000000000000000040795920000001134764500000004000008082200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C015300       EMERC2016053120160601+0000000000000+0000000000000
0000480010120160531PRBGI4CKJIK19281520160531000000001540000033000000000000000000000000000000000000000110000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160426+00000066+00000000+0000000000096 +0000000000140 00000000000000000005590200000000155495000000003000001102200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C015400       EMERC2016053120160601+0000000000000+0000000000000
0000500010120160531PRBGI4CKJIL19281520160531000000001550000033000000000000000000000000000000000000000493000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160519+00000070+00000000+0000000000001 +0000000000044 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C015500       EMERC2016053120160601+0000000000000+0000000000000
0000520010120160531PRBGI4CKJIM19281520160531000000001560000033000000000000000000000000000000000000000230000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160519+00000010+00000000+0000000000001 +0000000000003 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C015600       EMERC2016053120160601+0000000000000+0000000000000
0000540010120160531PRBGI4CKJIN19281520160531000000001570000033000000000000000000000000000000000000000414000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160426+00000020+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C015700       EMERC2016053120160601+0000000000000+0000000000000
0000560010120160531PRBGI4CKJIP19281520160531000000001580000033000000000000000000000000000000000000000809000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160428+00000004+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C015800       EMERC2016053120160601+0000000000000+0000000000000
0000580010120160531PRBGI4CKJIQ19281520160531000000001590000033000000000000000000000000000000000000001255000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160413+00000018+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C015900       EMERC2016053120160601+0000000000000+0000000000000
0000600010120160531PRBGI4CKJIR19281520160531000000001600000033000000000000000000000000000000000000000571000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160511+00000020+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C016000       EMERC2016053120160601+0000000000000+0000000000000
0000620010120160531PRBGI4CKJI019281520160531000000001500000033000000000000000000000000000000000000000065000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160126+00000464+00000000+0000000000496 +0000000000540 00000000000000000003217500000000089496800000002000000652200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16C015000       EMERC2016053120160601+0000000000000+0000000000000
0000640010120160531PRBGI4VKJMB19281520160531000000001460000033000000000000000000000000000000000000000183000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160118+00000040+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16P014600       EMERC2016053120160601+0000000000000+0000000000000
0000660010120160531PRBGI4VKJMC19281520160531000000001470000033000000000000000000000000000000000000000022000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160210+00000023+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16P014700       EMERC2016053120160601+0000000000000+0000000000000
0000680010120160531PRBGI4VKJMD19281520160531000000001480000033000000000000000000000000000000000000000170000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160427+00000005+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16P014800       EMERC2016053120160601+0000000000000+0000000000000
0000700010120160531PRBGI4VKJMF19281520160531000000001490000033000000000000000000000000000000000000000078000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160328+00000020+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000000000000000K16 0000000000000000000000000000000000000                    BGIK16P014900       EMERC2016053120160601+0000000000000+0000000000000
