0000020010120160304PRACF2*J16 19121820160415000000000000000050800000000000005671464000000151883000000565000000060000014500000+0000000000000+00000000+00007696+00007695+00007730+0000770000005+0000773015120020160304+00008100+00000000+0000000007730S+0000000008068 00000001717040000000000000000000000000000000000000000002200000042-00000338-0000000000000000000000000000000000000000000000290004200029    0000000000000000000000000020160415001                    ACFJ16              EMERC2016041520160418+0000000007544+0000000008592
0000040010120160304PRACF2*M16 19121820160615000000000000000050800000000000000000000000000000000000000180000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160226+00007669+00000000+0000000007317S+0000000007620 00000001539240000000000000000000000000000000000000000002200000040-00000303-0000000000000000000000000000000000000000000000700010300070    0000000000000000000000000020160615002                    ACFM16              EMERC2016061520160616+0000000007125+0000000008115
0000060010120160304PRAUD2*J16 19121820160401000000000000000006000000000000011064840000000297537900000309000000070000006600000+0000000000000+00000000+02756900+02756900+02812000+0279415200001+0281200016080020160304+02826000+00000000+0000028043500S+0000028153020 00000000657120000000000000000000000000000000000000000003400000004-00109520-0000000000000000000000000000000000000000000000190002800019    0000000000000000000000000000000000001                    AUDJ16              EMERC2016033120160401+0000002646400+0000002984200
0000080010120160304PRAUD2*K16 19121820160502000000000000000006000000000000004060800000000109196500000000000000020000002400000+0000000000000+00000000+02820000+02820000+02820000+0282000000023+0282000016110020160304+00000000+00000000+0000028230770S+0000028344790 00000000684120000000000000000000000000000000000000000003400000004-00114020-0000000000000000000000000000000000000000000000390005900039    0000000000000000000000000000000000002                    AUDK16              EMERC2016042920160502+0000002664500+0000003004500
0000100010120160304PRAUD2*M16 19121820160601000000000000000006000000000000008548200000000229864500001467000000010000005000000+0000000000000+00000000+02849400+02849400+02849400+0284940000050+0284940012020020160304+02897900+00000000+0000028435890S+0000028555570 00000000718080000000000000000000000000000000000000000003400000004-00119680-0000000000000000000000000000000000000000000000600008900060    0000000000000000000000000000000000003                    AUDM16              EMERC2016053120160601+0000002684300+0000003026800
0000120010120160304PRBGI2*F17 19121820170131000000000000000033000000000000000000000000000000000000000058000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160302+00016030+00000000+0000000016060S+0000000016108 00000000158400000000000000000000000000000000000000000002200000003-00000048-0000000000000000000000000000000000000000000002300033300228    0000000000000000000000000020170131011                    BGIF17              EMERC2017013120170201+0000000015545+0000000016671
0000140010120160304PRBGI2*H16 19121820160331000000000000000033000000000000053796586000001440684100003506000002060000106200000+0000000000000+00000000+00015400+00015280+00015400+0001535000004+0001531015590020160304+00015429+00000000+0000000015327S+0000000015418 00000000300300000000000000000000000000000000000000000002200000006-00000091-0000000000000000000000000000000000000000000000180002700018    0000000000000000000000000020160331001                    BGIH16              EMERC2016033120160401+0000000014879+0000000015957
0000160010120160304PRBGI2*J16 19121820160429000000000000000033000000000000001113915000000029830900000326000000130000002200000+0000000000000+00000000+00015350+00015270+00015449+0001534300001+0001532516120020160304+00015400+00000000+0000000015325S+0000000015400 00000000247500000000000000000000000000000000000000000002200000005-00000075-0000000000000000000000000000000000000000000000380005600038    0000000000000000000000000020160429002                    BGIJ16              EMERC2016042920160502+0000000014861+0000000015939
0000180010120160304PRBGI2*K16 19121820160531000000000000000033000000000000020969734000000561574000003451000001130000041500000+0000000000000+00000000+00015301+00015260+00015350+0001531200002+0001529915590020160304+00015350+00000000+0000000015286S+0000000015348 00000000204600000000000000000000000000000000000000000002200000004-00000062-0000000000000000000000000000000000000000000000590008800059    0000000000000000000000000020160531003                    BGIK16              EMERC2016053120160601+0000000014811+0000000015885
0000200010120160304PRBGI2*K17 19121820170531000000000000000033000000000000000000000000000000000000000001000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160114+00016000+00000000+0000000016181S+0000000016221 00000000132000000000000000000000000000000000000000000002200000002-00000040-0000000000000000000000000000000000000000000003110045300309    0000000000000000000000000020170531012                    BGIK17              EMERC2017053120170601+0000000015654+0000000016788
0000220010120160304PRBGI2*M16 19121820160630000000000000000033000000000000000000000000000000000000000013000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160302+00015398+00000000+0000000015438S+0000000015492 00000000178200000000000000000000000000000000000000000002200000003-00000054-0000000000000000000000000000000000000000000000810011800081    0000000000000000000000000020160630004                    BGIM16              EMERC2016063020160701+0000000014950+0000000016034
0000240010120160304PRBGI2*N16 19121820160729000000000000000033000000000000000000000000000000000000000006000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160303+00015420+00000000+0000000015446S+0000000015500 00000000178200000000000000000000000000000000000000000002200000003-00000054-0000000000000000000000000000000000000000000001020014700102    0000000000000000000000000020160729005                    BGIN16              EMERC2016072920160801+0000000014958+0000000016042
0000260010120160304PRBGI2*Q16 19121820160831000000000000000033000000000000000000000000000000000000000154000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160303+00015800+00000000+0000000015745S+0000000015800 00000000181500000000000000000000000000000000000000000002200000003-00000055-0000000000000000000000000000000000000000000001250018000125    0000000000000000000000000020160831006                    BGIQ16              EMERC2016083120160901+0000000015247+0000000016353
0000280010120160304PRBGI2*U16 19121820160930000000000000000033000000000000000000000000000000000000000008000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160219+00016250+00000000+0000000015875S+0000000015900 00000000082500000000000000000000000000000000000000000002200000002-00000025-0000000000000000000000000000000000000000000001460021000146    0000000000000000000000000020160930007                    BGIU16              EMERC2016093020161003+0000000015344+0000000016456
0000300010120160304PRBGI2*V16 19121820161031000000000000000033000000000000011832499000000316876900001570000000420000022400000+0000000000000+00000000+00016075+00015975+00016151+0001600700010+0001605016190020160304+00016075+00000000+0000000016050S+0000000016075 00000000082500000000000000000000000000000000000000000002200000002-00000025-0000000000000000000000000000000000000000000001660024100166    0000000000000000000000000020161031008                    BGIV16              EMERC2016103120161101+0000000015513+0000000016637
0000320010120160304PRBGI2*V17 19121820171031000000000000000033000000000000000000000000000000000000000001000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160114+00016500+00000000+0000000016699S+0000000016750 00000000168300000000000000000000000000000000000000000002200000003-00000051-0000000000000000000000000000000000000000000004170060600415    0000000000000000000000000020171031013                    BGIV17              EMERC2017103120171101+0000000016164+0000000017336
0000340010120160304PRBGI2*X16 19121820161130000000000000000033000000000000000000000000000000000000000191000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160302+00016060+00000000+0000000016100S+0000000016137 00000000122100000000000000000000000000000000000000000002200000002-00000037-0000000000000000000000000000000000000000000001860027100186    0000000000000000000000000020161130009                    BGIX16              EMERC2016113020161201+0000000015573+0000000016701
0000360010120160304PRBGI2*Z16 19121820161229000000000000000033000000000000000000000000000000000000000030000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160219+00016580+00000000+0000000016100S+0000000016149 00000000161700000000000000000000000000000000000000000002200000003-00000049-0000000000000000000000000000000000000000000002070030000207    0000000000000000000000000020161229010                    BGIZ16              EMERC2016122920170102+0000000015584+0000000016714
0000380010120160304PRBGI4CHJIB19121820160331000000001500000033000000000000000000000000000000000000000002000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020151028+00000310+00000000+0000000000000 +0000000000420 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16C015000       EMERC2016033120160401+0000000000000+0000000000000
0000400010120160304PRBGI4CHJID19121820160331000000001520000033000000000000000000000000000000000000000076000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160223+00000525+00000000+0000000000000 +0000000000243 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16C015200       EMERC2016033120160401+0000000000000+0000000000000
0000420010120160304PRBGI4CHJIG19121820160331000000001540000033000000000000000000000000000000000000000025000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160202+00000220+00000000+0000000000000 +0000000000107 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16C015400       EMERC2016033120160401+0000000000000+0000000000000
0000440010120160304PRBGI4CHJIH19121820160331000000001550000033000000000000000000000000000000000000000165000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160303+00000020+00000000+0000000000000 +0000000000063 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16C015500       EMERC2016033120160401+0000000000000+0000000000000
0000460010120160304PRBGI4CHJIJ19121820160331000000001560000033000000000000000000000000000000000000000142000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160302+00000049+00000000+0000000000000 +0000000000035 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16C015600       EMERC2016033120160401+0000000000000+0000000000000
0000480010120160304PRBGI4CHJIL19121820160331000000001580000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160201+00000020+00000000+0000000000000 +0000000000009 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16C015800       EMERC2016033120160401+0000000000000+0000000000000
0000500010120160304PRBGI4CHJIM19121820160331000000001590000033000000000000000000000000000000000000001010000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160229+00000057+00000000+0000000000000 +0000000000004 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16C015900       EMERC2016033120160401+0000000000000+0000000000000
0000520010120160304PRBGI4CHJI819121820160331000000001480000033000000000000000000000000000000000000000012000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160211+00000805+00000000+0000000000000 +0000000000613 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16C014800       EMERC2016033120160401+0000000000000+0000000000000
0000540010120160304PRBGI4CHJI919121820160331000000001490000033000000000000000000000000000000000000000001000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020151209+00000262+00000000+0000000000000 +0000000000515 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16C014900       EMERC2016033120160401+0000000000000+0000000000000
0000560010120160304PRBGI4VHJMB19121820160331000000001500000033000000000000000000759000000000020300000225000000010000001000000+0000000000000+00000000+00000023+00000023+00000023+0000002300010+0000002314250020160304+00000010+00000023+0000000000000 +0000000000006 00000000000000000000000000000000000000000000000000000002200001300+00000013+0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16P015000       EMERC2016033120160401+0000000000000+0000000000000
0000580010120160304PRBGI4VHJMC19121820160331000000001510000033000000000000000000000000000000000000000011000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160122+00000070+00000000+0000000000000 +0000000000013 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16P015100       EMERC2016033120160401+0000000000000+0000000000000
0000600010120160304PRBGI4VHJMD19121820160331000000001520000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160201+00000027+00000000+0000000000000 +0000000000027 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16P015200       EMERC2016033120160401+0000000000000+0000000000000
0000620010120160304PRBGI4VHJMF19121820160331000000001530000033000000000000000000000000000000000000000025000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160203+00000040+00000000+0000000000000 +0000000000051 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16P015300       EMERC2016033120160401+0000000000000+0000000000000
0000640010120160304PRBGI4VHJMG19121820160331000000001540000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160302+00000073+00000000+0000000000000 +0000000000089 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16P015400       EMERC2016033120160401+0000000000000+0000000000000
0000660010120160304PRBGI4VHJMH19121820160331000000001550000033000000000000000000000000000000000000000100000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160302+00000120+00000000+0000000000000 +0000000000144 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16P015500       EMERC2016033120160401+0000000000000+0000000000000
0000680010120160304PRBGI4VHJM519121820160331000000001450000033000000000000000000000000000000000000000050000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160128+00000010+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16P014500       EMERC2016033120160401+0000000000000+0000000000000
0000700010120160304PRBGI4VHJM719121820160331000000001470000033000000000000000000000000000000000000000012000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160211+00000005+00000000+0000000000000 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000180002700018H16 0000000000000000000000000000000000000                    BGIH16P014700       EMERC2016033120160401+0000000000000+0000000000000
