0000020010120160628PRACF2*U16 19020920160915000000000000000050800000000000000000000000000000000000000473000000000000000000030+0000845000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160622+00008301+00000000+0000000008450S+0000000008446 00000000020320000000000000000000000000000000000000000002200000000+00000004+0000000000000000000000000000000000000000000000560007900056    0000000000000000000000000020160915001                    ACFU16              EMERC2016091520160916+0000000007898+0000000008994
0000040010120160628PRACF2*Z16 19020920161215000000000000000050800000000000000000000000000000000000000030000000000000000000010+0000840000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160620+00008700+00000000+0000000008464S+0000000008595 00000000665480000000000000000000000000000000000000000002200000015-00000131-0000000000000000000000000000000000000000000001180017000118    0000000000000000000000000020161215002                    ACFZ16              EMERC2016121520161216+0000000008037+0000000009153
0000060010120160628PRAUD2*N16 19020920160701000000000000000006000000000000024106056000000724623700000295000000050000016400000+0000000000000+00000000+02480000+02440000+02480000+0244980200120+0244000015080020160628+02501000+00000000+0000024364160S+0000024964170 00000003600060000000000000000000000000000000000000000003400000024-00600010-0000000000000000000000000000000000000000000000030000300003    0000000000000000000000000000000000001                    AUDN16              EMERC2016063020160701+0000000000100+0000999999100
0000080010120160628PRAUD2*Q16 19020920160801000000000000000006000000000000029695986000000892656000002518000000080000020100000+0000000000000+00000000+02495000+02450500+02495000+0246235400023+0245100016050020160628+02510000+00000000+0000024524320S+0000025126270 00000003611700000000000000000000000000000000000000000003400000024-00601950-0000000000000000000000000000000000000000000000240003400024    0000000000000000000000000000000000002                    AUDQ16              EMERC2016072920160801+0000002361900+0000002663300
0000100010120160628PRAUD2*U16 19020920160901000000000000000006000000000000000000000000000000000000000005000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160627+02530700+00000000+0000024727810S+0000025333940 00000003636780000000000000000000000000000000000000000003400000024-00606130-0000000000000000000000000000000000000000000000470006500047    0000000000000000000000000000000000003                    AUDU16              EMERC2016083120160901+0000002381400+0000002685300
0000120010120160628PRBGI2*F17 19020920170131000000000000000033000000000000000054450000000001647800000098000000010000000100000+0000000000010+00016600+00016500+00016500+00016500+0001650000001+0001650017080020160628+00016700+00000000+0000000016505S+0000000016512 00000000023100000000000000000000000000000000000000000002200000000-00000007-0000000000000000000000000000000000000000000001510021700149    0000000000000000000000000020170131008                    BGIF17              EMERC2017013120170201+0000000015928+0000000017082
0000140010120160628PRBGI2*K17 19020920170531000000000000000033000000000000000000000000000000000000000151000000000000000000001+0001550000010+00015900+00000000+00000000+00000000+0000000000000+0000000000000020160610+00016025+00000000+0000000015778S+0000000015786 00000000026400000000000000000000000000000000000000000002200000001-00000008-0000000000000000000000000000000000000000000002320033700230    0000000000000000000000000020170531009                    BGIK17              EMERC2017053120170601+0000000015226+0000000016330
0000160010120160628PRBGI2*M16 19020920160630000000000000000033000000000000007799048000000236020100001893000000340000015100003+0001564500020+00015649+00015670+00015635+00015689+0001565100003+0001564015590020160628+00015670+00000000+0000000015647S+0000000015671 00000000079200000000000000000000000000000000000000000002200000002-00000024-0000000000000000000000000000000000000000000000020000200002    0000000000000000000000000020160630001                    BGIM16              EMERC2016063020160701+0000000000001+0000099999901
0000180010120160628PRBGI2*N16 19020920160729000000000000000033000000000000011847386000000358533700002899000000690000022500010+0001593000006+00015932+00015960+00015930+00016000+0001595600010+0001593016120020160628+00015956+00000000+0000000015930S+0000000015956 00000000085800000000000000000000000000000000000000000002200000002-00000026-0000000000000000000000000000000000000000000000230003100023    0000000000000000000000000020160729002                    BGIN16              EMERC2016072920160801+0000000015373+0000000016487
0000200010120160628PRBGI2*Q16 19020920160831000000000000000033000000000000008232308000000249131700002083000000400000015400010+0001615100041+00016170+00016189+00016170+00016271+0001619900009+0001617016150020160628+00016189+00000000+0000000016170S+0000000016189 00000000062700000000000000000000000000000000000000000002200000001-00000019-0000000000000000000000000000000000000000000000460006400046    0000000000000000000000000020160831003                    BGIQ16              EMERC2016083120160901+0000000015605+0000000016735
0000220010120160628PRBGI2*U16 19020920160930000000000000000033000000000000000108028000000003269200000303000000020000000200003+0001623000001+00016300+00016330+00016330+00016406+0001636800001+0001640611090020160628+00016330+00000000+0000000016310S+0000000016330 00000000066000000000000000000000000000000000000000000002200000001-00000020-0000000000000000000000000000000000000000000000670009400067    0000000000000000000000000020160930004                    BGIU16              EMERC2016093020161003+0000000015740+0000000016880
0000240010120160628PRBGI2*V16 19020920161031000000000000000033000000000000035818021000001083949300008469000001950000065800005+0001648000003+00016489+00016480+00016451+00016532+0001649500002+0001648915590020160628+00016480+00000000+0000000016486S+0000000016482 00000000013200000000000000000000000000000000000000000002200000000+00000004+0000000000000000000000000000000000000000000000870012500087    0000000000000000000000000020161031005                    BGIV16              EMERC2016103120161101+0000000015909+0000000017063
0000260010120160628PRBGI2*V17 19020920171031000000000000000033000000000000000000000000000000000000000051000000000000000000000+0000000000010+00016700+00000000+00000000+00000000+0000000000000+0000000000000020160623+00017000+00000000+0000000016771S+0000000016780 00000000029700000000000000000000000000000000000000000002200000001-00000009-0000000000000000000000000000000000000000000003380049000336    0000000000000000000000000020171031010                    BGIV17              EMERC2017103120171101+0000000016185+0000000017357
0000280010120160628PRBGI2*X16 19020920161130000000000000000033000000000000001303962000000039461400001106000000130000002400001+0001643100001+00016450+00016475+00016450+00016500+0001646400001+0001645016180020160628+00016451+00000000+0000000016450S+0000000016451 00000000003300000000000000000000000000000000000000000002200000000-00000001-0000000000000000000000000000000000000000000001070015500107    0000000000000000000000000020161130006                    BGIX16              EMERC2016113020161201+0000000015875+0000000017025
0000300010120160628PRBGI2*Z16 19020920161229000000000000000033000000000000000054450000000001647800000381000000010000000100051+0001640000005+00016500+00016500+00016500+00016500+0001650000001+0001650017060020160628+00016480+00000000+0000000016426S+0000000016431 00000000016500000000000000000000000000000000000000000002200000000-00000005-0000000000000000000000000000000000000000000001280018400128    0000000000000000000000000020161229007                    BGIZ16              EMERC2016122920170102+0000000015852+0000000017000
0000320010120160628PRBGI4VFKM019020920170131000000001500000033000000000000000000000000000000000000000170000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160310+00000140+00000000+0000000000024 +0000000000024 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000001510021700149F17 0000000000000000000000000000000000000                    BGIF17P015000       EMERC2017013120170201+0000000000000+0000000000000
0000340010120160628PRBGI4CMJIG19020920160630000000001570000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160615+00000100+00000000+0000000000011 +0000000000023 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16C015700       EMERC2016063020160701+0000000000000+0000000000000
0000360010120160628PRBGI4CMJIJ19020920160630000000001580000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160615+00000041+00000000+0000000000002 +0000000000006 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16C015800       EMERC2016063020160701+0000000000000+0000000000000
0000380010120160628PRBGI4CMJIK19020920160630000000001585000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160519+00000176+00000000+0000000000001 +0000000000002 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16C015850       EMERC2016063020160701+0000000000000+0000000000000
0000400010120160628PRBGI4CMJIN19020920160630000000001600000033000000000000000000000000000000000000000162000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160613+00000005+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16C016000       EMERC2016063020160701+0000000000000+0000000000000
0000420010120160628PRBGI4VMJMB19020920160630000000001550000033000000000000000000000000000000000000000242000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160513+00000100+00000000+0000000000001 +0000000000002 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16P015500       EMERC2016063020160701+0000000000000+0000000000000
0000440010120160628PRBGI4VMJMC19020920160630000000001555000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160530+00000010+00000000+0000000000004 +0000000000005 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16P015550       EMERC2016063020160701+0000000000000+0000000000000
0000460010120160628PRBGI4VMJMD19020920160630000000001560000033000000000000000000000000000000000000000300000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160531+00000020+00000000+0000000000011 +0000000000011 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16P015600       EMERC2016063020160701+0000000000000+0000000000000
0000480010120160628PRBGI4VMJMG19020920160630000000001570000033000000000000000000000000000000000000000030000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160624+00000006+00000000+0000000000064 +0000000000052 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16P015700       EMERC2016063020160701+0000000000000+0000000000000
0000500010120160628PRBGI4VMJM019020920160630000000001500000033000000000000000000000000000000000000000050000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160316+00000095+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16P015000       EMERC2016063020160701+0000000000000+0000000000000
0000520010120160628PRBGI4VMJM319020920160630000000001515000033000000000000000000000000000000000000000005000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160405+00000100+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16P015150       EMERC2016063020160701+0000000000000+0000000000000
0000540010120160628PRBGI4VMJM419020920160630000000001520000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160517+00000010+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16P015200       EMERC2016063020160701+0000000000000+0000000000000
0000560010120160628PRBGI4VMJM619020920160630000000001530000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160624+00000001+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16P015300       EMERC2016063020160701+0000000000000+0000000000000
0000580010120160628PRBGI4VMJM719020920160630000000001535000033000000000000000000000000000000000000000035000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160331+00000140+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000020000200002M16 0000000000000000000000000000000000000                    BGIM16P015350       EMERC2016063020160701+0000000000000+0000000000000
