0000020010120170725PRAUD2*Q17 19244620170801000000000000000006000000000000132889050000004211213400001430000000040000088000000+0000000000000+00000000+02511500+02511500+02517300+0251683800075+0251730017320020170725+02494500+00000000+0000025163530S+0000024967570 00000001175760000000000000000000000000000000000000000003400000008+00195960+0000000000000000000000000000000000000000000000050000700005    0000000000000000000000000000000000001                    AUDQ17              EMERC2017073120170801+0000002347000+0000002646500
0000040010120170725PRAUD2*U17 19244620170901000000000000000006000000000000000000000000000000000000000210000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170721+02490100+00000000+0000025314360S+0000025110030 00000001225980000000000000000000000000000000000000000003400000008+00204330+0000000000000000000000000000000000000000000000280003800028    0000000000000000000000000000000000002                    AUDU17              EMERC2017083120170901+0000002360400+0000002661600
0000060010120170725PRAUD2*V17 19244620171002000000000000000006000000000000118156920000003744356700000011000000050000077500000+0000000000000+00000000+02541100+02541000+02541100+0254100900060+0254100017040020170725+02499600+00000000+0000025420930S+0000025217190 00000001222440000000000000000000000000000000000000000003400000008+00203740+0000000000000000000000000000000000000000000000480006900048    0000000000000000000000000000000000003                    AUDV17              EMERC2017092920171002+0000002370500+0000002673000
0000080010120170725PRBGI2*F18 19244620180131000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170323+00013950+00000000+0000000013183 +0000000013203 00000000000000000000000000000000000000000000000000000002200000002-00000020-0000000000000000000000000000000000000000000001300019000127    0000000000000000000000000000000000000                    BGIF18              EMERC2018013120180201+0000000012741+0000000013665
0000100010120170725PRBGI2*K18 19244620180530000000000000000033000000000000001819356000000057521800000095000000040000004100000+0001339000000+00013588+00013448+00013400+00013448+0001344700001+0001340011100020170725+00013210+00000000+0000000013489S+0000000013472 00000000056100000000000000000000000000000000000000000002200000001+00000017+0000000000000000000000000000000000000000000002110030900208    0000000000000000000000000020180530007                    BGIK18              EMERC2018053020180601+0000000013001+0000000013943
0000120010120170725PRBGI2*N17 19244620170731000000000000000033000000000000033029746000001044286800001593000000770000080600000+0001241000000+00012440+00012500+00012365+00012500+0001241800002+0001244016290020170725+00012500+00000000+0000000012418S+0000000012508 00000000297000000000000000000000000000000000000000000002200000007-00000090-0000000000000000000000000000000000000000000000040000600004    0000000000000000000000000020170731001                    BGIN17              EMERC2017073120170801+0000000012071+0000000012945
0000140010120170725PRBGI2*Q17 19244620170831000000000000000033000000000000011856867000000374873300000667000000450000027900000+0001285000000+00012870+00012980+00012850+00012980+0001287800003+0001285016260020170725+00013000+00000000+0000000012850S+0000000013000 00000000495000000000000000000000000000000000000000000002200000012-00000150-0000000000000000000000000000000000000000000000270003700027    0000000000000000000000000020170831002                    BGIQ17              EMERC2017083120170901+0000000012545+0000000013455
0000160010120170725PRBGI2*U17 19244620170929000000000000000033000000000000000086988000000002750300000132000000020000000200000+0001310000000+00013177+00013181+00013179+00013181+0001318000001+0001317912260020170725+00013175+00000000+0000000013175S+0000000013152 00000000075900000000000000000000000000000000000000000002200000002+00000023+0000000000000000000000000000000000000000000000470006600047    0000000000000000000000000020170929003                    BGIU17              EMERC2017092920171002+0000000012692+0000000013612
0000180010120170725PRBGI2*V17 19244620171031000000000000000033000000000000069548087000002198870900004865000002410000157200000+0001338200000+00013390+00013450+00013365+00013452+0001340700001+0001339016290020170725+00013440+00000000+0000000013388S+0000000013445 00000000188100000000000000000000000000000000000000000002200000004-00000057-0000000000000000000000000000000000000000000000680009800068    0000000000000000000000000020171031004                    BGIV17              EMERC2017103120171101+0000000012975+0000000013915
0000200010120170725PRBGI2*V18 19244620181031000000000000000033000000000000000137511000000004347600000055000000010000000300000+0001389000000+00013990+00013890+00013890+00013890+0001389000003+0001389011270020170725+00013900+00000000+0000000013993S+0000000013945 00000000158400000000000000000000000000000000000000000002200000003+00000048+0000000000000000000000000000000000000000000003180046300314    0000000000000000000000000020181031008                    BGIV18              EMERC2018103120181101+0000000013457+0000000014433
0000220010120170725PRBGI2*X17 19244620171130000000000000000033000000000000000221017000000006987800000148000000020000000500000+0001338200000+00013400+00013395+00013395+00013395+0001339500002+0001339511210020170725+00013437+00000000+0000000013396S+0000000013453 00000000188100000000000000000000000000000000000000000002200000004-00000057-0000000000000000000000000000000000000000000000880012800087    0000000000000000000000000020171130005                    BGIX17              EMERC2017113020171201+0000000012983+0000000013923
0000240010120170725PRBGI2*Z17 19244620171228000000000000000033000000000000000000000000000000000000000003000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170717+00012900+00000000+0000000013410S+0000000013467 00000000188100000000000000000000000000000000000000000002200000004-00000057-0000000000000000000000000000000000000000000001070015600106    0000000000000000000000000020171228006                    BGIZ17              EMERC2017122820180102+0000000012996+0000000013938
0000260010120170725PRBGI4CFLIP19244620180131000000001305000033000000000000000000000000000000000000000010000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170721+00000500+00000000+0000000000582 +0000000000595 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000001300019000127F18 0000000000000000000000000000000000000                    BGIF18C013050       EMERC2018013120180201+0000000000000+0000000000000
0000280010120170725PRBGI4CNKIL19244620170731000000001340000033000000000000000000000000000000000000000040000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170518+00000200+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C013400       EMERC2017073120170801+0000000000000+0000000000000
0000300010120170725PRBGI4CNKIN19244620170731000000001250000033000000000000000000000000000000000000000445000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170717+00000040+00000000+0000000000038 +0000000000085 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C012500       EMERC2017073120170801+0000000000000+0000000000000
0000320010120170725PRBGI4CNKIQ19244620170731000000001260000033000000000000000000000000000000000000000200000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170718+00000005+00000000+0000000000016 +0000000000043 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C012600       EMERC2017073120170801+0000000000000+0000000000000
0000340010120170725PRBGI4CNKIS19244620170731000000001270000033000000000000000000000000000000000000000110000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170629+00000001+00000000+0000000000005 +0000000000020 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C012700       EMERC2017073120170801+0000000000000+0000000000000
0000360010120170725PRBGI4CNKIV19244620170731000000001280000033000000000000000000000000000000000000000070000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170613+00000067+00000000+0000000000002 +0000000000008 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C012800       EMERC2017073120170801+0000000000000+0000000000000
0000380010120170725PRBGI4CNKIX19244620170731000000001290000033000000000000000000000000000000000000000150000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170705+00000005+00000000+0000000000001 +0000000000003 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C012900       EMERC2017073120170801+0000000000000+0000000000000
0000400010120170725PRBGI4CNKIZ19244620170731000000001305000033000000000000000000000000000000000000000003000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170602+00000185+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C013050       EMERC2017073120170801+0000000000000+0000000000000
0000420010120170725PRBGI4CNKI019244620170731000000001350000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170607+00000005+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C013500       EMERC2017073120170801+0000000000000+0000000000000
0000440010120170725PRBGI4CNKI119244620170731000000001360000033000000000000000000000000000000000000000081000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170612+00000005+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C013600       EMERC2017073120170801+0000000000000+0000000000000
0000460010120170725PRBGI4CNKI219244620170731000000001370000033000000000000000000000000000000000000000045000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170531+00000015+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C013700       EMERC2017073120170801+0000000000000+0000000000000
0000480010120170725PRBGI4CNKI319244620170731000000001380000033000000000000000000000000000000000000000031000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170531+00000010+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C013800       EMERC2017073120170801+0000000000000+0000000000000
0000500010120170725PRBGI4CNKI419244620170731000000001390000033000000000000000000000000000000000000000029000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020170425+00000150+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000040000600004N17 0000000000000000000000000000000000000                    BGIN17C013900       EMERC2017073120170801+0000000000000+0000000000000
