Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170626;AUD;*;N17 ;0000000000000;0000000000000;00001525;00000000;00000000;00000000;00000000;0000025071050;0000025326700;0000000153390;00255650;
20170626;AUD;*;Q17 ;0000009099390;0000002746737;00001003;02536300;02521400;02536300;02521400;0000025207890;0000025465180;0000000154374;00257290;
20170626;AUD;*;U17 ;0000000000000;0000000000000;00000011;00000000;00000000;00000000;00000000;0000025361750;0000025618610;0000000154116;00256860;
20170626;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000012141;0000000012038;0000000000000;00000103;
20170626;BGI;*;K18 ;0000000612958;0000000185582;00000053;00012383;00012383;00012383;00012383;0000000012417;0000000012368;0000000016170;00000049;
20170626;BGI;*;M17 ;0000001758886;0000000532528;00000764;00012674;00012660;00012700;00012690;0000000012685;0000000012674;0000000003630;00000011;
20170626;BGI;*;N17 ;0000002130285;0000000644974;00000690;00012100;00012006;00012200;00012180;0000000012185;0000000012100;0000000028050;00000085;
20170626;BGI;*;Q17 ;0000000563211;0000000170520;00000483;00012025;00012025;00012220;00012210;0000000012175;0000000012025;0000000049500;00000150;
20170626;BGI;*;U17 ;0000000120096;0000000036361;00000101;00012043;00012043;00012175;00012175;0000000012201;0000000012043;0000000052140;00000158;
20170626;BGI;*;V17 ;0000043402230;0000013140643;00004772;00012101;00012101;00012283;00012265;0000000012263;0000000012104;0000000052470;00000159;
20170626;BGI;*;V18 ;0000000170639;0000000051663;00000045;00012825;00012825;00012992;00012992;0000000012904;0000000012856;0000000015840;00000048;
20170626;BGI;*;X17 ;0000000040425;0000000012239;00000069;00012250;00012250;00012250;00012250;0000000012328;0000000012168;0000000052800;00000160;
20170626;BGI;*;Z17 ;0000000000000;0000000000000;00000003;00000000;00000000;00000000;00000000;0000000012368;0000000012207;0000000053130;00000161;
20170626;BRI;*;Q17 ;0000002205000;0000000665600;00000982;00010500;00010500;00010500;00010500;0000000010500;0000000010315;0000000185000;00000185;
20170626;BRI;*;V17 ;0000000000000;0000000000000;00000016;00000000;00000000;00000000;00000000;0000000010647;0000000010460;0000000187000;00000187;
20170626;BSE;*;M17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000031184;0000000031184;0000000000000;00000000;
20170626;BSE;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000031400;0000000031400;0000000000000;00000000;
20170626;CAD;*;N17 ;0000000000000;0000000000000;00000116;00000000;00000000;00000000;00000000;0000024948940;0000025225680;0000000166044;00276740;
