Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170215;AUD;*;H17 ;0000002977440;0000000967361;00001163;02361600;02361600;02364000;02364000;0000023614380;0000023752260;0000000082728;00137880;
20170215;AUD;*;J17 ;0000000717030;0000000232961;00000436;02390100;02390100;02390100;02390100;0000023795970;0000023934960;0000000083394;00138990;
20170215;AUD;*;K17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000023931450;0000024070540;0000000000000;00139090;
20170215;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014422;0000000014447;0000000000000;00000025;
20170215;BGI;*;G17 ;0000003992323;0000001304979;00000383;00014415;00014399;00014415;00014400;0000000014372;0000000014395;0000000007590;00000023;
20170215;BGI;*;H17 ;0000002434393;0000000795735;00000452;00014225;00014100;00014225;00014180;0000000014180;0000000014250;0000000023100;00000070;
20170215;BGI;*;J17 ;0000000046530;0000000015209;00000018;00014100;00014100;00014100;00014100;0000000014132;0000000014154;0000000007260;00000022;
20170215;BGI;*;K17 ;0000054821497;0000017919621;00003890;00014030;00014000;00014040;00014015;0000000014017;0000000014039;0000000007260;00000022;
20170215;BGI;*;M17 ;0000000000000;0000000000000;00000003;00000000;00000000;00000000;00000000;0000000014108;0000000014130;0000000007260;00000022;
20170215;BGI;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014189;0000000014212;0000000000000;00000023;
20170215;BGI;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014273;0000000014296;0000000000000;00000023;
20170215;BGI;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014349;0000000014373;0000000000000;00000024;
