Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170104;AUD;*;G17 ;0000004951590;0000001531435;00001523;02357900;02357900;02357900;02357900;0000023599760;0000023724360;0000000074760;00124600;
20170104;AUD;*;H17 ;0000000000000;0000000000000;00000521;00000000;00000000;00000000;00000000;0000023758750;0000023884620;0000000075522;00125870;
20170104;AUD;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000023954350;0000024082650;0000000000000;00128300;
20170104;BGI;*;F17 ;0000028928875;0000008983565;00001330;00014996;00014898;00015000;00014900;0000000014900;0000000014988;0000000029040;00000088;
20170104;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014892;0000000014952;0000000000000;00000060;
20170104;BGI;*;G17 ;0000000000000;0000000000000;00000062;00000000;00000000;00000000;00000000;0000000014695;0000000014790;0000000031350;00000095;
20170104;BGI;*;H17 ;0000000000000;0000000000000;00000052;00000000;00000000;00000000;00000000;0000000014702;0000000014798;0000000031680;00000096;
20170104;BGI;*;J17 ;0000000000000;0000000000000;00000002;00000000;00000000;00000000;00000000;0000000014619;0000000014714;0000000031350;00000095;
20170104;BGI;*;K17 ;0000018883619;0000005864114;00001710;00014645;00014520;00014650;00014520;0000000014527;0000000014630;0000000033990;00000103;
20170104;BGI;*;V17 ;0000004608149;0000001431013;00000521;00015050;00015000;00015050;00015020;0000000015000;0000000015060;0000000019800;00000060;
20170104;BGI;*;X17 ;0000000049500;0000000015372;00000076;00015000;00015000;00015000;00015000;0000000014942;0000000015002;0000000019800;00000060;
20170104;BGI;*;Z17 ;0000000000000;0000000000000;00000087;00000000;00000000;00000000;00000000;0000000014942;0000000015002;0000000019800;00000060;
20170104;BRI;*;G17 ;0000000726620;0000000224730;00001144;00010400;00010377;00010400;00010377;0000000010384;0000000010432;0000000048000;00000048;
20170104;BRI;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000010580;0000000010629;0000000000000;00000049;
20170104;BSE;*;F17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000026771;0000000026788;0000000000000;00000017;
20170104;BSE;*;G17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000026963;0000000026980;0000000000000;00000017;
20170104;CAD;*;G17 ;0000026361390;0000008153091;00000398;02440800;02440800;02440900;02440900;0000024434980;0000024436200;0000000000732;00001220;
20170104;CAD;*;H17 ;0000000000000;0000000000000;00000150;00000000;00000000;00000000;00000000;0000024621270;0000024623130;0000000001116;00001860;
20170104;CAD;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000024856020;0000024857430;0000000000000;00001410;
20170104;CCM;*;F17 ;0000022142556;0000006876143;00008543;00003800;00003730;00003800;00003733;0000000003735;0000000003793;0000000026100;00000058;
20170104;CCM;*;F18 ;0000000000000;0000000000000;00000010;00000000;00000000;00000000;00000000;0000000003160;0000000003155;0000000002250;00000005;
20170104;CCM;*;F19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002786;0000000002782;0000000000000;00000004;
20170104;CCM;*;H17 ;0000012978967;0000004030485;00005949;00003540;00003525;00003565;00003530;0000000003530;0000000003548;0000000008100;00000018;
20170104;CCM;*;H18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003130;0000000003125;0000000000000;00000005;
20170104;CCM;*;H19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002671;0000000002667;0000000000000;00000004;
20170104;CCM;*;K17 ;0000009850266;0000003058899;00005229;00003501;00003440;00003510;00003440;0000000003507;0000000003525;0000000008100;00000018;
20170104;CCM;*;K18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002890;0000000002886;0000000000000;00000004;
20170104;CCM;*;K19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002560;0000000002556;0000000000000;00000004;
20170104;CCM;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003333;0000000003338;0000000000000;00000005;
20170104;CCM;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002765;0000000002761;0000000000000;00000004;
20170104;CCM;*;U17 ;0000006160810;0000001913176;00006379;00003170;00003160;00003180;00003168;0000000003168;0000000003163;0000000002250;00000005;
20170104;CCM;*;U18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002642;0000000002638;0000000000000;00000004;
20170104;CCM;*;X17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003164;0000000003159;0000000000000;00000005;
20170104;CCM;*;X18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002712;0000000002708;0000000000000;00000004;
20170104;CHF;*;G17 ;0000002389750;0000000739106;00000215;03188000;03183000;03188000;03183000;0000031809160;0000032044180;0000000117510;00235020;
20170104;CHF;*;H17 ;0000000000000;0000000000000;00000120;00000000;00000000;00000000;00000000;0000032090430;0000032328040;0000000118805;00237610;
20170104;CHF;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000032463240;0000032698800;0000000000000;00235560;
20170104;CLP;*;G17 ;0000000000000;0000000000000;00000099;00000000;00000000;00000000;00000000;0000048324000;0000048534000;0000000052500;00210000;
20170104;CLP;*;H17 ;0000000000000;0000000000000;00000865;00000000;00000000;00000000;00000000;0000048598000;0000048806000;0000000052000;00208000;
20170104;CLP;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000048919000;0000049128000;0000000000000;00209000;
20170104;CNY;*;G17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046624210;0000046716220;0000000000000;00092010;
20170104;CNY;*;H17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046732610;0000046770020;0000000000000;00037410;
20170104;CNY;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046876670;0000046936120;0000000000000;00059450;
20170104;CR1;*;H7U7;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000000000;0000000000000;0000000000000;00000000;
20170104;DAP;*;F17 ;0000000000000;0000000000000;00000821;00000000;00000000;00000000;00000000;0000009971231;0000009970807;0000000000505;00000424;
20170104;DAP;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009416217;0000009421984;0000000000000;00005767;
20170104;DAP;*;G17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009922540;0000009920751;0000000000000;00001789;
