Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170720;AUD;*;Q17 ;0000007780746;0000002477787;00001545;02493900;02493800;02493900;02493800;0000024970830;0000025099400;0000000077142;00128570;
20170720;AUD;*;U17 ;0000000000000;0000000000000;00000210;00000000;00000000;00000000;00000000;0000025117360;0000025248360;0000000078600;00131000;
20170720;AUD;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000025225040;0000025354850;0000000000000;00129810;
20170720;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000013011;0000000012918;0000000000000;00000093;
20170720;BGI;*;K18 ;0000001309654;0000000418447;00000093;00013370;00013210;00013370;00013210;0000000013250;0000000013157;0000000030690;00000093;
20170720;BGI;*;N17 ;0000027256161;0000008708595;00001653;00012360;00012360;00012499;00012470;0000000012496;0000000012379;0000000038610;00000117;
20170720;BGI;*;Q17 ;0000008298496;0000002651446;00000489;00012700;00012700;00012850;00012751;0000000012775;0000000012735;0000000013200;00000040;
20170720;BGI;*;U17 ;0000000172227;0000000055028;00000132;00013000;00013000;00013120;00013020;0000000013025;0000000013015;0000000003300;00000010;
20170720;BGI;*;V17 ;0000141546233;0000045225328;00004862;00013186;00013160;00013374;00013280;0000000013275;0000000013178;0000000032010;00000097;
20170720;BGI;*;V18 ;0000003455050;0000001103920;00000051;00013794;00013710;00013794;00013710;0000000013723;0000000013625;0000000032340;00000098;
20170720;BGI;*;X17 ;0000000881403;0000000281616;00000113;00013330;00013330;00013400;00013396;0000000013283;0000000013186;0000000032010;00000097;
20170720;BGI;*;Z17 ;0000000000000;0000000000000;00000003;00000000;00000000;00000000;00000000;0000000013297;0000000013200;0000000032010;00000097;
20170720;BRI;*;Q17 ;0000000653640;0000000208152;00000973;00010894;00010894;00010894;00010894;0000000010898;0000000010945;0000000047000;00000047;
20170720;BRI;*;V17 ;0000000000000;0000000000000;00000016;00000000;00000000;00000000;00000000;0000000011049;0000000011096;0000000047000;00000047;
20170720;BSE;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000031959;0000000032018;0000000000000;00000059;
20170720;BSE;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000032236;0000000032296;0000000000000;00000060;
20170720;CAD;*;Q17 ;0000015079716;0000004802151;00000963;02506300;02486900;02506300;02486900;0000024933140;0000025062840;0000000077820;00129700;
20170720;CAD;*;U17 ;0000000000000;0000000000000;00000210;00000000;00000000;00000000;00000000;0000025107700;0000025230960;0000000073956;00123260;
20170720;CAD;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000025234930;0000025358610;0000000000000;00123680;
20170720;CCM;*;F18 ;0000002463367;0000000787069;00002225;00002900;00002900;00002930;00002930;0000000002904;0000000002872;0000000014400;00000032;
20170720;CCM;*;H18 ;0000000203850;0000000065132;00000389;00003020;00003020;00003020;00003020;0000000003030;0000000002997;0000000014850;00000033;
20170720;CCM;*;K18 ;0000000000000;0000000000000;00000010;00000000;00000000;00000000;00000000;0000000002995;0000000002964;0000000013950;00000031;
20170720;CCM;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003001;0000000002970;0000000000000;00000031;
20170720;CCM;*;U17 ;0000021594816;0000006899743;00019389;00002640;00002640;00002674;00002661;0000000002661;0000000002632;0000000013050;00000029;
20170720;CCM;*;U18 ;0000000000000;0000000000000;00000091;00000000;00000000;00000000;00000000;0000000003008;0000000002977;0000000013950;00000031;
20170720;CCM;*;X17 ;0000003544897;0000001132627;00001756;00002869;00002860;00002888;00002862;0000000002866;0000000002835;0000000013950;00000031;
20170720;CCM;*;X18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003077;0000000003046;0000000000000;00000031;
20170720;CHF;*;Q17 ;0000080585975;0000025662689;00000593;03288700;03288700;03290600;03290600;0000032988120;0000033057060;0000000034470;00068940;
20170720;CHF;*;U17 ;0000000000000;0000000000000;00000160;00000000;00000000;00000000;00000000;0000033268710;0000033337130;0000000034210;00068420;
20170720;CHF;*;V17 ;0000059277900;0000018877110;00000000;03339600;03339600;03339600;03339600;0000033491020;0000033562940;0000000035960;00071920;
20170720;CLP;*;Q17 ;0000000000000;0000000000000;00000090;00000000;00000000;00000000;00000000;0000048093000;0000048257000;0000000041000;00164000;
20170720;CLP;*;U17 ;0000000000000;0000000000000;00000425;00000000;00000000;00000000;00000000;0000048298000;0000048510000;0000000053000;00212000;
20170720;CLP;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000048476000;0000048685000;0000000000000;00209000;
20170720;CNY;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046395950;0000046707370;0000000000000;00311420;
20170720;CNY;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046616160;0000046914600;0000000000000;00298440;
20170720;CNY;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046734320;0000047046340;0000000000000;00312020;
