Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170504;AUD;*;M17 ;0000018161430;0000005714736;00001740;02357000;02357000;02375800;02371900;0000023737190;0000023578880;0000000094986;00158310;
20170504;AUD;*;N17 ;0000000000000;0000000000000;00000011;00000000;00000000;00000000;00000000;0000023882620;0000023723970;0000000095190;00158650;
20170504;AUD;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000024016590;0000023857600;0000000000000;00158990;
20170504;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000013851;0000000013975;0000000000000;00000124;
20170504;BGI;*;K17 ;0000054763090;0000017183812;00005035;00013640;00013561;00013645;00013578;0000000013571;0000000013639;0000000022440;00000068;
20170504;BGI;*;K18 ;0000000094380;0000000029615;00000050;00014300;00014300;00014300;00014300;0000000014290;0000000014500;0000000069300;00000210;
20170504;BGI;*;M17 ;0000001517788;0000000476258;00000166;00013560;00013501;00013575;00013530;0000000013510;0000000013538;0000000009240;00000028;
20170504;BGI;*;N17 ;0000001125811;0000000353262;00000015;00013700;00013610;00013700;00013610;0000000013644;0000000013700;0000000018480;00000056;
20170504;BGI;*;Q17 ;0000000720720;0000000226151;00000025;00013650;00013650;00013650;00013650;0000000013700;0000000013725;0000000008250;00000025;
20170504;BGI;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000013833;0000000013882;0000000000000;00000049;
20170504;BGI;*;V17 ;0000020322089;0000006376758;00002392;00013960;00013860;00013970;00013890;0000000013890;0000000013935;0000000014850;00000045;
20170504;BGI;*;V18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014731;0000000014952;0000000000000;00000221;
20170504;BGI;*;X17 ;0000000000000;0000000000000;00000057;00000000;00000000;00000000;00000000;0000000013960;0000000014005;0000000014850;00000045;
20170504;BGI;*;Z17 ;0000000000000;0000000000000;00000002;00000000;00000000;00000000;00000000;0000000014011;0000000014112;0000000033330;00000101;
20170504;BRI;*;M17 ;0000000764040;0000000240415;00000705;00010908;00010908;00010916;00010916;0000000010916;0000000011123;0000000207000;00000207;
20170504;BRI;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000011082;0000000011291;0000000000000;00000209;
20170504;BSE;*;K17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000030282;0000000030057;0000000000000;00000225;
20170504;BSE;*;M17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000030545;0000000030318;0000000000000;00000227;
20170504;CAD;*;M17 ;0000011153820;0000003509698;00000932;02323100;02323100;02332900;02332900;0000023320100;0000023160890;0000000095526;00159210;
20170504;CAD;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000023489200;0000023326710;0000000000000;00162490;
20170504;CAD;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000023643240;0000023479590;0000000000000;00163650;
20170504;CCM;*;F18 ;0000000367834;0000000115421;00000451;00002920;00002910;00002920;00002916;0000000002915;0000000002945;0000000013500;00000030;
20170504;CCM;*;H18 ;0000000000000;0000000000000;00000243;00000000;00000000;00000000;00000000;0000000002991;0000000003008;0000000007650;00000017;
20170504;CCM;*;K17 ;0000010060096;0000003156703;00004992;00002804;00002791;00002839;00002791;0000000002797;0000000002800;0000000001350;00000003;
20170504;CCM;*;K18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002655;0000000002682;0000000000000;00000027;
20170504;CCM;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002779;0000000002780;0000000000000;00000001;
20170504;CCM;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002636;0000000002663;0000000000000;00000027;
20170504;CCM;*;U17 ;0000028349091;0000008895507;00018710;00002759;00002731;00002784;00002750;0000000002757;0000000002757;0000000000000;00000000;
20170504;CCM;*;U18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002618;0000000002645;0000000000000;00000027;
20170504;CCM;*;X17 ;0000000501156;0000000157255;00000830;00002780;00002776;00002800;00002787;0000000002773;0000000002787;0000000006300;00000014;
20170504;CCM;*;X18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002688;0000000002716;0000000000000;00000028;
20170504;CHF;*;M17 ;0000000000000;0000000000000;00000199;00000000;00000000;00000000;00000000;0000032550600;0000031991430;0000000279585;00559170;
20170504;CHF;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000032845230;0000032266610;0000000000000;00578620;
20170504;CHF;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000033099490;0000032530500;0000000000000;00568990;
20170504;CLP;*;M17 ;0000020722320;0000006520554;00000737;04736600;04736500;04736600;04736500;0000047391000;0000047305000;0000000021500;00086000;
20170504;CLP;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000047639000;0000047546000;0000000000000;00093000;
20170504;CLP;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000047856000;0000047772000;0000000000000;00084000;
20170504;CNY;*;M17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046375070;0000045837360;0000000000000;00537710;
20170504;CNY;*;N17 ;0000000000000;0000000000000;00000090;00000000;00000000;00000000;00000000;0000046525030;0000045984310;0000000189252;00540720;
20170504;CNY;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046677070;0000046152360;0000000000000;00524710;
20170504;CR1;*;U7Z7;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000000000;0000000000000;0000000000000;00000000;
20170504;DAP;*;F18 ;0000000000000;0000000000000;00000300;00000000;00000000;00000000;00000000;0000009650904;0000009655328;0000000005337;00004424;
