Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170502;AUD;*;K17 ;0000000000000;0000000000000;00000012;00000000;00000000;00000000;00000000;0000023919230;0000023919230;0000000000000;00000000;
20170502;AUD;*;M17 ;0000017583810;0000005542747;00001707;02413000;02386200;02413000;02386200;0000023892440;0000023964760;0000000043392;00072320;
20170502;AUD;*;N17 ;0000000000000;0000000000000;00000011;00000000;00000000;00000000;00000000;0000024041450;0000024114280;0000000043698;00072830;
20170502;AUD;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000024177380;0000024250000;0000000000000;00072620;
20170502;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014044;0000000013960;0000000000000;00000084;
20170502;BGI;*;K17 ;0000058765116;0000018650856;00004815;00013594;00013570;00013728;00013710;0000000013704;0000000013568;0000000044880;00000136;
20170502;BGI;*;M17 ;0000008876310;0000002817161;00000211;00013662;00013632;00013680;00013632;0000000013620;0000000013620;0000000000000;00000000;
20170502;BGI;*;N17 ;0000000499026;0000000158381;00000014;00013720;00013720;00013750;00013750;0000000013733;0000000013719;0000000004620;00000014;
20170502;BGI;*;Q17 ;0000000045375;0000000014401;00000025;00013750;00013750;00013750;00013750;0000000013725;0000000013732;0000000002310;00000007;
20170502;BGI;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000013951;0000000013856;0000000000000;00000095;
20170502;BGI;*;V17 ;0000018457995;0000005858193;00002521;00013972;00013970;00014070;00014004;0000000014004;0000000013920;0000000027720;00000084;
20170502;BGI;*;X17 ;0000000185433;0000000058853;00000057;00014070;00014012;00014070;00014012;0000000014074;0000000013990;0000000027720;00000084;
20170502;BGI;*;Z17 ;0000000000000;0000000000000;00000002;00000000;00000000;00000000;00000000;0000000014182;0000000014097;0000000028050;00000085;
20170502;BRI;*;M17 ;0000000561260;0000000176920;00000705;00011222;00011222;00011230;00011230;0000000011230;0000000011014;0000000216000;00000216;
20170502;BRI;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000011399;0000000011182;0000000000000;00000217;
20170502;BSE;*;K17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000030091;0000000030118;0000000000000;00000027;
20170502;BSE;*;M17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000030352;0000000030379;0000000000000;00000027;
20170502;CAD;*;K17 ;0000000000000;0000000000000;00000004;00000000;00000000;00000000;00000000;0000023392090;0000023392090;0000000000000;00000000;
20170502;CAD;*;M17 ;0000016106112;0000005076949;00000912;02345900;02312800;02345900;02312900;0000023147910;0000023455960;0000000184830;00308050;
20170502;CAD;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000023314860;0000023626940;0000000000000;00312080;
20170502;CAD;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000023469130;0000023850000;0000000000000;00380870;
20170502;CCM;*;F18 ;0000000065385;0000000020752;00000451;00002906;00002906;00002906;00002906;0000000002986;0000000002960;0000000011700;00000026;
20170502;CCM;*;H18 ;0000000000000;0000000000000;00000243;00000000;00000000;00000000;00000000;0000000003009;0000000003037;0000000012600;00000028;
20170502;CCM;*;K17 ;0000008510364;0000002701017;00005989;00002805;00002805;00002821;00002807;0000000002811;0000000002812;0000000000450;00000001;
20170502;CCM;*;K18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002719;0000000002696;0000000000000;00000023;
20170502;CCM;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002782;0000000002770;0000000000000;00000012;
20170502;CCM;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002700;0000000002678;0000000000000;00000022;
20170502;CCM;*;U17 ;0000011282035;0000003580689;00018510;00002725;00002720;00002758;00002750;0000000002749;0000000002725;0000000010800;00000024;
20170502;CCM;*;U18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002682;0000000002660;0000000000000;00000022;
20170502;CCM;*;X17 ;0000000349461;0000000110912;00000757;00002770;00002760;00002780;00002776;0000000002802;0000000002778;0000000010800;00000024;
20170502;CCM;*;X18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002754;0000000002731;0000000000000;00000023;
20170502;CHF;*;K17 ;0000000000000;0000000000000;00000001;00000000;00000000;00000000;00000000;0000032130190;0000032130190;0000000000000;00000000;
20170502;CHF;*;M17 ;0000000000000;0000000000000;00000199;00000000;00000000;00000000;00000000;0000032045740;0000032294110;0000000124185;00248370;
20170502;CHF;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000032324760;0000032571870;0000000000000;00247110;
20170502;CHF;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000032587200;0000032850000;0000000000000;00262800;
20170502;CLP;*;K17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000047966050;0000047966050;0000000000000;00000000;
20170502;CLP;*;M17 ;0000027586775;0000008695869;00000967;04797700;04797700;04797700;04797700;0000047458000;0000047933000;0000000118750;00475000;
20170502;CLP;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000047711000;0000048193000;0000000000000;00482000;
20170502;CLP;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000047934000;0000048350000;0000000000000;00416000;
20170502;CNY;*;K17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046371100;0000046371100;0000000000000;00000000;
20170502;CNY;*;M17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000045855700;0000046250590;0000000000000;00394890;
20170502;CNY;*;N17 ;0000000000000;0000000000000;00000090;00000000;00000000;00000000;00000000;0000046021260;0000046422720;0000000140511;00401460;
20170502;CNY;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046171820;0000046650000;0000000000000;00478180;
20170502;CR1;*;U7Z7;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000000000;0000000000000;0000000000000;00000000;
20170502;DAP;*;F18 ;0000000000000;0000000000000;00000300;00000000;00000000;00000000;00000000;0000009627078;0000009631405;0000000005220;00004327;
20170502;DAP;*;K17 ;0000000000000;0000000000000;00041760;00000000;00000000;00000000;00000000;0000009967770;0000009968058;0000000000347;00000288;
20170502;DAP;*;K19 ;0000000000000;0000000000000;00041675;00000000;00000000;00000000;00000000;0000009096482;0000009094274;0000000002663;00002208;
20170502;DAP;*;K21 ;0000002461458;0000000775898;00011861;00000518;00000518;00000520;00000520;0000008162668;0000008157479;0000000006259;00005189;
20170502;DAP;*;K23 ;0000000000000;0000000000000;00012745;00000000;00000000;00000000;00000000;0000007324133;0000007312509;0000000014023;00011624;
20170502;DAP;*;M17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009924855;0000009924195;0000000000000;00000660;
20170502;DAP;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009866284;0000009866633;0000000000000;00000349;
20170502;DAP;*;Q18 ;0000007362926;0000002320932;00053635;00000502;00000502;00000502;00000502;0000009388519;0000009388632;0000000000136;00000113;
20170502;DAP;*;Q20 ;0000000000000;0000000000000;00005170;00000000;00000000;00000000;00000000;0000008499172;0000008492333;0000000008250;00006839;
20170502;DAP;*;Q22 ;0000000000000;0000000000000;00016133;00000000;00000000;00000000;00000000;0000007609768;0000007599287;0000000012644;00010481;
20170502;DAP;*;Q24 ;0000000000000;0000000000000;00008370;00000000;00000000;00000000;00000000;0000006867961;0000006854614;0000000016101;00013347;
20170502;DAP;*;Q26 ;0000000000000;0000000000000;00002020;00000000;00000000;00000000;00000000;0000006164378;0000006148883;0000000018692;00015495;
20170502;DAP;*;Q30 ;0000000000000;0000000000000;00000235;00000000;00000000;00000000;00000000;0000005009751;0000004991510;0000000022005;00018241;
20170502;DCO;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009716966;0000009802184;0000000000000;00085218;
20170502;DCO;*;F19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009479572;0000009555345;0000000000000;00075773;
