Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170116;AUD;*;G17 ;0000002188200;0000000678848;00001526;02426000;02426000;02434000;02434000;0000024267600;0000024137990;0000000077766;00129610;
20170116;AUD;*;H17 ;0000012443670;0000003860418;00000398;02439900;02439900;02440000;02440000;0000024426700;0000024299990;0000000076026;00126710;
20170116;AUD;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000024625920;0000024500310;0000000000000;00125610;
20170116;BGI;*;F17 ;0000004569975;0000001416432;00001070;00014865;00014865;00014900;00014899;0000000014897;0000000014872;0000000008250;00000025;
20170116;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014737;0000000014702;0000000000000;00000035;
20170116;BGI;*;G17 ;0000000000000;0000000000000;00000093;00000000;00000000;00000000;00000000;0000000014684;0000000014650;0000000011220;00000034;
20170116;BGI;*;H17 ;0000000000000;0000000000000;00000052;00000000;00000000;00000000;00000000;0000000014631;0000000014597;0000000011220;00000034;
20170116;BGI;*;J17 ;0000000000000;0000000000000;00000002;00000000;00000000;00000000;00000000;0000000014544;0000000014510;0000000011220;00000034;
20170116;BGI;*;K17 ;0000006693591;0000002074631;00002009;00014315;00014315;00014400;00014388;0000000014388;0000000014345;0000000014190;00000043;
20170116;BGI;*;M17 ;0000000000000;0000000000000;00000003;00000000;00000000;00000000;00000000;0000000014487;0000000014449;0000000012540;00000038;
20170116;BGI;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014575;0000000014535;0000000000000;00000040;
20170116;BGI;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014671;0000000014633;0000000000000;00000038;
20170116;BGI;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014758;0000000014722;0000000000000;00000036;
20170116;BGI;*;V17 ;0000000146714;0000000045473;00000784;00014805;00014805;00014829;00014829;0000000014845;0000000014810;0000000011550;00000035;
20170116;BGI;*;X17 ;0000000000000;0000000000000;00000076;00000000;00000000;00000000;00000000;0000000014787;0000000014752;0000000011550;00000035;
20170116;BGI;*;Z17 ;0000000000000;0000000000000;00000087;00000000;00000000;00000000;00000000;0000000014787;0000000014752;0000000011550;00000035;
20170116;BRI;*;G17 ;0000000642540;0000000199336;00001153;00010709;00010709;00010709;00010709;0000000010703;0000000010681;0000000022000;00000022;
20170116;BRI;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000010901;0000000010878;0000000000000;00000023;
20170116;BSE;*;F17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000027348;0000000027318;0000000000000;00000030;
20170116;BSE;*;G17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000027545;0000000027515;0000000000000;00000030;
20170116;CAD;*;G17 ;0000001485600;0000000460880;00000998;02476000;02476000;02476000;02476000;0000024675280;0000024585170;0000000054066;00090110;
20170116;CAD;*;H17 ;0000000000000;0000000000000;00000030;00000000;00000000;00000000;00000000;0000024860290;0000024778540;0000000049050;00081750;
20170116;CAD;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000025092180;0000025011050;0000000000000;00081130;
20170116;CCM;*;F17 ;0000006635322;0000002056571;00007696;00003445;00003428;00003450;00003435;0000000003426;0000000003448;0000000009900;00000022;
20170116;CCM;*;F18 ;0000000000000;0000000000000;00000060;00000000;00000000;00000000;00000000;0000000003181;0000000003187;0000000002700;00000006;
20170116;CCM;*;F19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002800;0000000002804;0000000000000;00000004;
20170116;CCM;*;H17 ;0000027544851;0000008537333;00007527;00003480;00003430;00003480;00003430;0000000003437;0000000003473;0000000016200;00000036;
20170116;CCM;*;H18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003148;0000000003154;0000000000000;00000006;
20170116;CCM;*;H19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002682;0000000002686;0000000000000;00000004;
20170116;CCM;*;K17 ;0000004740061;0000001469149;00006208;00003344;00003344;00003380;00003350;0000000003350;0000000003360;0000000004500;00000010;
20170116;CCM;*;K18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002906;0000000002911;0000000000000;00000005;
20170116;CCM;*;K19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002569;0000000002573;0000000000000;00000004;
20170116;CCM;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003243;0000000003252;0000000000000;00000009;
20170116;CCM;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002779;0000000002784;0000000000000;00000005;
20170116;CCM;*;U17 ;0000003700786;0000001147033;00007003;00003140;00003132;00003150;00003140;0000000003140;0000000003147;0000000003150;00000007;
20170116;CCM;*;U18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002656;0000000002660;0000000000000;00000004;
