Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170322;AUD;*;J17 ;0000004278600;0000001382915;00001839;02377000;02377000;02377000;02377000;0000023797680;0000023839160;0000000024888;00041480;
20170322;AUD;*;K17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000023925490;0000023966110;0000000000000;00040620;
20170322;AUD;*;M17 ;0000001444500;0000000466886;00000510;02407500;02407500;02407500;02407500;0000024093270;0000024132320;0000000023430;00039050;
20170322;BGI;*;F18 ;0000000000000;0000000000000;00000002;00000000;00000000;00000000;00000000;0000000014152;0000000014228;0000000025080;00000076;
20170322;BGI;*;H17 ;0000020018403;0000006489158;00001408;00014220;00014061;00014220;00014061;0000000014061;0000000014205;0000000047520;00000144;
20170322;BGI;*;J17 ;0000003557400;0000001153165;00000119;00014000;00014000;00014000;00014000;0000000013911;0000000014004;0000000030690;00000093;
20170322;BGI;*;K17 ;0000134644963;0000043646460;00006321;00013888;00013800;00013920;00013815;0000000013814;0000000013906;0000000030360;00000092;
20170322;BGI;*;M17 ;0000000000000;0000000000000;00000004;00000000;00000000;00000000;00000000;0000000013907;0000000013996;0000000029370;00000089;
20170322;BGI;*;N17 ;0000000000000;0000000000000;00000002;00000000;00000000;00000000;00000000;0000000013991;0000000014076;0000000028050;00000085;
20170322;BGI;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014078;0000000014159;0000000000000;00000081;
20170322;BGI;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014152;0000000014231;0000000000000;00000079;
20170322;BGI;*;V17 ;0000035878326;0000011630304;00001968;00014310;00014207;00014310;00014230;0000000014230;0000000014306;0000000025080;00000076;
20170322;BGI;*;X17 ;0000000047028;0000000015245;00000020;00014251;00014251;00014251;00014251;0000000014249;0000000014325;0000000025080;00000076;
20170322;BGI;*;Z17 ;0000000000000;0000000000000;00000038;00000000;00000000;00000000;00000000;0000000014235;0000000014311;0000000025080;00000076;
20170322;BRI;*;J17 ;0000000106230;0000000034335;00000722;00010623;00010623;00010623;00010623;0000000010621;0000000010534;0000000087000;00000087;
20170322;BRI;*;M17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000010796;0000000010708;0000000000000;00000088;
20170322;BSE;*;H17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000029225;0000000029551;0000000000000;00000326;
20170322;BSE;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000029427;0000000029755;0000000000000;00000328;
20170322;CAD;*;J17 ;0000006958800;0000002249200;00001685;02316000;02316000;02325000;02325000;0000023235650;0000023204530;0000000018672;00031120;
20170322;CAD;*;K17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000023378930;0000023351720;0000000000000;00027210;
20170322;CAD;*;M17 ;0000003538980;0000001143857;00000360;02360000;02356600;02360000;02356600;0000023569860;0000023539420;0000000018264;00030440;
20170322;CCM;*;F18 ;0000000686520;0000000222542;00000150;00002910;00002900;00002950;00002900;0000000002911;0000000003009;0000000044100;00000098;
20170322;CCM;*;F19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002546;0000000002634;0000000000000;00000088;
20170322;CCM;*;H18 ;0000000119340;0000000038685;00000057;00002900;00002900;00002960;00002940;0000000002911;0000000003009;0000000044100;00000098;
20170322;CCM;*;H19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002437;0000000002521;0000000000000;00000084;
