Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170424;AUD;*;K17 ;0000002980188;0000000953630;00001258;02366500;02363900;02367600;02367600;0000023700330;0000023793270;0000000055764;00092940;
20170424;AUD;*;M17 ;0000020084400;0000006426802;00000430;02391000;02391000;02391000;02391000;0000023868550;0000023957290;0000000053244;00088740;
20170424;AUD;*;N17 ;0000000000000;0000000000000;00000011;00000000;00000000;00000000;00000000;0000024015490;0000024103550;0000000052836;00088060;
20170424;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014023;0000000014046;0000000000000;00000023;
20170424;BGI;*;J17 ;0000001457283;0000000465467;00000324;00013800;00013800;00013801;00013801;0000000013800;0000000013734;0000000021780;00000066;
20170424;BGI;*;K17 ;0000011260939;0000003596825;00004968;00013600;00013565;00013624;00013590;0000000013586;0000000013596;0000000003300;00000010;
20170424;BGI;*;M17 ;0000001315779;0000000420269;00000129;00013749;00013749;00013749;00013749;0000000013749;0000000013688;0000000020130;00000061;
20170424;BGI;*;N17 ;0000000226215;0000000072255;00000011;00013710;00013710;00013710;00013710;0000000013758;0000000013772;0000000004620;00000014;
20170424;BGI;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000013844;0000000013861;0000000000000;00000017;
20170424;BGI;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000013915;0000000013936;0000000000000;00000021;
20170424;BGI;*;V17 ;0000000876169;0000000279855;00002055;00013994;00013951;00013995;00013981;0000000013990;0000000014013;0000000007590;00000023;
20170424;BGI;*;X17 ;0000000046249;0000000014772;00000082;00014015;00014015;00014015;00014015;0000000014053;0000000014076;0000000007590;00000023;
20170424;BGI;*;Z17 ;0000000000000;0000000000000;00000038;00000000;00000000;00000000;00000000;0000000014160;0000000014120;0000000013200;00000040;
20170424;BRI;*;M17 ;0000000761310;0000000243611;00000706;00010877;00010873;00010877;00010873;0000000010873;0000000010767;0000000106000;00000106;
20170424;BRI;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000011036;0000000010930;0000000000000;00000106;
