Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170718;AUD;*;Q17 ;0000065453196;0000020668560;00001858;02522000;02505500;02522000;02505500;0000025086620;0000024878700;0000000124752;00207920;
20170718;AUD;*;U17 ;0000000000000;0000000000000;00000210;00000000;00000000;00000000;00000000;0000025238760;0000025026770;0000000127194;00211990;
20170718;AUD;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000025347160;0000025132730;0000000000000;00214430;
20170718;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000012834;0000000012670;0000000000000;00000164;
20170718;BGI;*;K18 ;0000001080585;0000000342033;00000093;00013098;00013098;00013098;00013098;0000000013077;0000000012918;0000000052470;00000159;
20170718;BGI;*;N17 ;0000028943138;0000009161250;00000980;00012330;00012311;00012360;00012335;0000000012347;0000000012338;0000000002970;00000009;
20170718;BGI;*;Q17 ;0000001467279;0000000464432;00000353;00012650;00012650;00012710;00012710;0000000012699;0000000012609;0000000029700;00000090;
20170718;BGI;*;U17 ;0000000681116;0000000215591;00000132;00012900;00012899;00012900;00012900;0000000012941;0000000012768;0000000057090;00000173;
20170718;BGI;*;V17 ;0000120164408;0000038035137;00004394;00012875;00012850;00013095;00013045;0000000013058;0000000012883;0000000057750;00000175;
20170718;BGI;*;V18 ;0000001122412;0000000355272;00000051;00013605;00013605;00013605;00013605;0000000013580;0000000013435;0000000047850;00000145;
20170718;BGI;*;X17 ;0000000215556;0000000068229;00000109;00013020;00013020;00013105;00013085;0000000013066;0000000012891;0000000057750;00000175;
20170718;BGI;*;Z17 ;0000000000000;0000000000000;00000003;00000000;00000000;00000000;00000000;0000000013109;0000000012933;0000000058080;00000176;
20170718;BRI;*;Q17 ;0000000548680;0000000173260;00000975;00010968;00010968;00010975;00010975;0000000010975;0000000010961;0000000014000;00000014;
20170718;BRI;*;V17 ;0000000000000;0000000000000;00000016;00000000;00000000;00000000;00000000;0000000011127;0000000011112;0000000015000;00000015;
20170718;BSE;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000031781;0000000032154;0000000000000;00000373;
20170718;BSE;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000032057;0000000032432;0000000000000;00000375;
20170718;CAD;*;Q17 ;0000001504800;0000000475180;00000957;02508000;02508000;02508000;02508000;0000025098000;0000025142760;0000000026856;00044760;
20170718;CAD;*;U17 ;0000000000000;0000000000000;00000210;00000000;00000000;00000000;00000000;0000025267550;0000025317120;0000000029742;00049570;
20170718;CAD;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000025395810;0000025443710;0000000000000;00047900;
20170718;CCM;*;F18 ;0000002835234;0000000897425;00002141;00002860;00002840;00002860;00002853;0000000002867;0000000002817;0000000022500;00000050;
20170718;CCM;*;H18 ;0000000539977;0000000170917;00000409;00002996;00002996;00003000;00003000;0000000002971;0000000002930;0000000018450;00000041;
20170718;CCM;*;K18 ;0000001121850;0000000355094;00000060;00002916;00002916;00002940;00002940;0000000002938;0000000002897;0000000018450;00000041;
20170718;CCM;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002944;0000000002895;0000000000000;00000049;
20170718;CCM;*;U17 ;0000054202158;0000017156382;00018939;00002637;00002615;00002709;00002625;0000000002627;0000000002633;0000000002700;00000006;
20170718;CCM;*;U18 ;0000000668475;0000000211590;00000091;00002962;00002962;00002980;00002980;0000000002951;0000000002895;0000000025200;00000056;
20170718;CCM;*;X17 ;0000007256673;0000002296924;00001885;00002788;00002788;00002832;00002810;0000000002830;0000000002781;0000000022050;00000049;
20170718;CCM;*;X18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003020;0000000002964;0000000000000;00000056;
20170718;CHF;*;Q17 ;0000000996325;0000000314616;00000589;03320700;03320700;03323000;03323000;0000033204500;0000033192810;0000000005845;00011690;
20170718;CHF;*;U17 ;0000000000000;0000000000000;00000160;00000000;00000000;00000000;00000000;0000033480520;0000033474090;0000000003215;00006430;
20170718;CHF;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000033707900;0000033691720;0000000000000;00016180;
20170718;CLP;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000048323000;0000048328000;0000000000000;00005000;
20170718;CLP;*;U17 ;0000000000000;0000000000000;00000425;00000000;00000000;00000000;00000000;0000048622000;0000048577000;0000000011250;00045000;
20170718;CLP;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000048800000;0000048751000;0000000000000;00049000;
20170718;CNY;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046912450;0000047121030;0000000000000;00208580;
20170718;CNY;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000047126030;0000047369200;0000000000000;00243170;
20170718;CNY;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000047258180;0000047495290;0000000000000;00237110;
20170718;CR1;*;U7Z7;0000000000000;0000000000000;00000000;00000550;00000550;00000550;00000550;0000000000000;0000000000000;0000000000000;00000000;
20170718;DAP;*;F18 ;0000218907714;0000069125841;00031100;00000436;00000434;00000436;00000434;0000009792938;0000009794655;0000000002074;00001717;
20170718;DAP;*;F19 ;0000000000000;0000000000000;00000200;00000000;00000000;00000000;00000000;0000009393189;0000009394415;0000000001481;00001226;
20170718;DAP;*;K19 ;0000178919485;0000056498511;00046270;00000439;00000436;00000439;00000436;0000009255192;0000009256379;0000000001434;00001187;
20170718;DAP;*;K21 ;0000000000000;0000000000000;00025553;00000000;00000000;00000000;00000000;0000008287409;0000008276248;0000000013484;00011161;
20170718;DAP;*;K23 ;0000000000000;0000000000000;00012753;00000000;00000000;00000000;00000000;0000007422254;0000007406623;0000000018884;00015631;
20170718;DAP;*;Q17 ;0000000000000;0000000000000;00002100;00000000;00000000;00000000;00000000;0000009938522;0000009940033;0000000001825;00001511;
20170718;DAP;*;Q18 ;0000284941281;0000089977669;00080888;00000440;00000440;00000444;00000444;0000009545210;0000009550346;0000000006205;00005136;
20170718;DAP;*;Q20 ;0000046920064;0000014816238;00015815;00000492;00000492;00000492;00000492;0000008625100;0000008618453;0000000008030;00006647;
20170718;DAP;*;Q22 ;0000017251650;0000005447660;00021664;00000525;00000525;00000526;00000525;0000007724378;0000007713985;0000000012556;00010393;
20170718;DAP;*;Q24 ;0000009250833;0000002921193;00009270;00000527;00000527;00000528;00000528;0000006953830;0000006940525;0000000016074;00013305;
20170718;DAP;*;Q26 ;0000000000000;0000000000000;00004014;00000000;00000000;00000000;00000000;0000006260577;0000006234304;0000000031742;00026273;
20170718;DAP;*;Q30 ;0000000000000;0000000000000;00000235;00000000;00000000;00000000;00000000;0000004991565;0000004955151;0000000043994;00036414;
20170718;DAP;*;U17 ;0000179054205;0000056541052;00000000;00000750;00000750;00000750;00000750;0000009884331;0000009884700;0000000000445;00000369;
20170718;DAP;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009850127;0000009851130;0000000000000;00001003;
20170718;DCO;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009827108;0000009898251;0000000000000;00071143;
20170718;DCO;*;F19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009576080;0000009644940;0000000000000;00068860;
20170718;DCO;*;F20 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009254370;0000009325095;0000000000000;00070725;
20170718;DCO;*;F21 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008901272;0000008965055;0000000000000;00063783;
20170718;DCO;*;F22 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008505732;0000008568691;0000000000000;00062959;
20170718;DCO;*;F23 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008090899;0000008149603;0000000000000;00058704;
20170718;DCO;*;F24 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000007680002;0000007736074;0000000000000;00056072;
20170718;DCO;*;F25 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000007254408;0000007302323;0000000000000;00047915;
20170718;DCO;*;F26 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000006869193;0000006916527;0000000000000;00047334;
20170718;DCO;*;F27 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000006486781;0000006528921;0000000000000;00042140;
20170718;DCO;*;F28 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000006137215;0000006178147;0000000000000;00040932;
20170718;DCO;*;F29 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000005802996;0000005838569;0000000000000;00035573;
20170718;DCO;*;F30 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000005485546;0000005519697;0000000000000;00034151;
20170718;DCO;*;G18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009810606;0000009880886;0000000000000;00070280;
20170718;DCO;*;H18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009791618;0000009861706;0000000000000;00070088;
20170718;DCO;*;J18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009771016;0000009842131;0000000000000;00071115;
20170718;DCO;*;J19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009505648;0000009574368;0000000000000;00068720;
20170718;DCO;*;J20 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009174162;0000009246012;0000000000000;00071850;
20170718;DCO;*;J21 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008817001;0000008882466;0000000000000;00065465;
20170718;DCO;*;J22 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008417327;0000008477899;0000000000000;00060572;
20170718;DCO;*;K18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009752672;0000009822551;0000000000000;00069879;
20170718;DCO;*;M18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009730955;0000009800821;0000000000000;00069866;
20170718;DCO;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009711897;0000009782040;0000000000000;00070143;
20170718;DCO;*;N19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009426821;0000009495397;0000000000000;00068576;
