Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170724;AUD;*;Q17 ;0000015288354;0000004859771;00001499;02504300;02494100;02504300;02494500;0000024967570;0000024891580;0000000045594;00075990;
20170724;AUD;*;U17 ;0000000000000;0000000000000;00000210;00000000;00000000;00000000;00000000;0000025110030;0000025039500;0000000042318;00070530;
20170724;AUD;*;V17 ;0000000000000;0000000000000;00000011;00000000;00000000;00000000;00000000;0000025217190;0000025146160;0000000042618;00071030;
20170724;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000013203;0000000013049;0000000000000;00000154;
20170724;BGI;*;K18 ;0000000000000;0000000000000;00000095;00000000;00000000;00000000;00000000;0000000013472;0000000013288;0000000060720;00000184;
20170724;BGI;*;N17 ;0000047981300;0000015253950;00001850;00012453;00012453;00012530;00012500;0000000012508;0000000012471;0000000012210;00000037;
20170724;BGI;*;Q17 ;0000016922320;0000005379851;00000646;00012775;00012775;00013000;00013000;0000000013000;0000000012815;0000000061050;00000185;
20170724;BGI;*;U17 ;0000000172725;0000000054912;00000132;00013025;00013025;00013175;00013175;0000000013152;0000000013025;0000000041910;00000127;
20170724;BGI;*;V17 ;0000116843466;0000037146230;00004422;00013310;00013310;00013460;00013440;0000000013445;0000000013315;0000000042900;00000130;
20170724;BGI;*;V18 ;0000000229597;0000000072992;00000050;00013925;00013900;00013925;00013900;0000000013945;0000000013761;0000000060720;00000184;
20170724;BGI;*;X17 ;0000001857203;0000000590432;00000111;00013310;00013310;00013437;00013437;0000000013453;0000000013323;0000000042900;00000130;
20170724;BGI;*;Z17 ;0000000000000;0000000000000;00000003;00000000;00000000;00000000;00000000;0000000013467;0000000013337;0000000042900;00000130;
20170724;BRI;*;Q17 ;0000000981810;0000000312092;00000979;00010909;00010909;00010909;00010909;0000000010913;0000000010849;0000000064000;00000064;
20170724;BRI;*;V17 ;0000000000000;0000000000000;00000016;00000000;00000000;00000000;00000000;0000000011063;0000000010998;0000000065000;00000065;
20170724;BSE;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000032269;0000000032076;0000000000000;00000193;
