Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170109;AUD;*;G17 ;0000006396942;0000001993003;00001545;02374600;02366800;02374600;02366800;0000023694200;0000023678560;0000000009384;00015640;
20170109;AUD;*;H17 ;0000000000000;0000000000000;00000521;00000000;00000000;00000000;00000000;0000023853860;0000023837260;0000000009960;00016600;
20170109;AUD;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000024054670;0000024033710;0000000000000;00020960;
20170109;BGI;*;F17 ;0000009302769;0000002911938;00001317;00014927;00014905;00014940;00014910;0000000014910;0000000014925;0000000004950;00000015;
20170109;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000014792;0000000014888;0000000000000;00000096;
20170109;BGI;*;G17 ;0000002820378;0000000882830;00000062;00014750;00014720;00014750;00014740;0000000014740;0000000014689;0000000016830;00000051;
20170109;BGI;*;H17 ;0000000000000;0000000000000;00000052;00000000;00000000;00000000;00000000;0000000014669;0000000014696;0000000008910;00000027;
20170109;BGI;*;J17 ;0000000000000;0000000000000;00000002;00000000;00000000;00000000;00000000;0000000014582;0000000014608;0000000008580;00000026;
20170109;BGI;*;K17 ;0000022252263;0000006965369;00001640;00014598;00014450;00014598;00014452;0000000014452;0000000014490;0000000012540;00000038;
20170109;BGI;*;V17 ;0000006847001;0000002143238;00000680;00014990;00014900;00014994;00014900;0000000014900;0000000014996;0000000031680;00000096;
20170109;BGI;*;X17 ;0000000000000;0000000000000;00000076;00000000;00000000;00000000;00000000;0000000014842;0000000014938;0000000031680;00000096;
20170109;BGI;*;Z17 ;0000000000000;0000000000000;00000087;00000000;00000000;00000000;00000000;0000000014842;0000000014938;0000000031680;00000096;
20170109;BRI;*;G17 ;0000000311850;0000000097159;00001147;00010395;00010395;00010395;00010395;0000000010389;0000000010391;0000000002000;00000002;
20170109;BRI;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000010585;0000000010586;0000000000000;00000001;
20170109;BSE;*;F17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000026832;0000000026885;0000000000000;00000053;
20170109;BSE;*;G17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000027024;0000000027078;0000000000000;00000054;
20170109;CAD;*;G17 ;0000031434780;0000009793682;00000618;02437500;02430000;02437600;02430000;0000024364500;0000024515050;0000000090330;00150550;
20170109;CAD;*;H17 ;0000000000000;0000000000000;00000180;00000000;00000000;00000000;00000000;0000024552460;0000024703560;0000000090660;00151100;
20170109;CAD;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000024786220;0000024938180;0000000000000;00151960;
20170109;CCM;*;F17 ;0000023725629;0000007426559;00008437;00003655;00003581;00003655;00003585;0000000003586;0000000003650;0000000028800;00000064;
20170109;CCM;*;F18 ;0000000369832;0000000115764;00000010;00003161;00003160;00003161;00003160;0000000003097;0000000003113;0000000007200;00000016;
20170109;CCM;*;F19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002728;0000000002740;0000000000000;00000012;
20170109;CCM;*;H17 ;0000017343742;0000005428911;00006137;00003500;00003434;00003501;00003445;0000000003441;0000000003508;0000000030150;00000067;
20170109;CCM;*;H18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003067;0000000003083;0000000000000;00000016;
20170109;CCM;*;H19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002614;0000000002625;0000000000000;00000011;
20170109;CCM;*;K17 ;0000002825725;0000000884504;00005797;00003366;00003320;00003366;00003320;0000000003320;0000000003366;0000000020700;00000046;
20170109;CCM;*;K18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002833;0000000002847;0000000000000;00000014;
20170109;CCM;*;K19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002504;0000000002515;0000000000000;00000011;
20170109;CCM;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003211;0000000003241;0000000000000;00000030;
20170109;CCM;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002708;0000000002721;0000000000000;00000013;
20170109;CCM;*;U17 ;0000002200491;0000000688794;00006546;00003122;00003105;00003139;00003105;0000000003105;0000000003122;0000000007650;00000017;
20170109;CCM;*;U18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002587;0000000002598;0000000000000;00000011;
20170109;CCM;*;X17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000003101;0000000003118;0000000000000;00000017;
20170109;CCM;*;X18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002656;0000000002667;0000000000000;00000011;
20170109;CHF;*;G17 ;0000000000000;0000000000000;00000170;00000000;00000000;00000000;00000000;0000031733070;0000031975020;0000000120975;00241950;
20170109;CHF;*;H17 ;0000000000000;0000000000000;00000120;00000000;00000000;00000000;00000000;0000032013480;0000032259070;0000000122795;00245590;
20170109;CHF;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000032377720;0000032626810;0000000000000;00249090;
20170109;CLP;*;G17 ;0000000000000;0000000000000;00000100;00000000;00000000;00000000;00000000;0000047913000;0000048507000;0000000148500;00594000;
20170109;CLP;*;H17 ;0000000000000;0000000000000;00000865;00000000;00000000;00000000;00000000;0000048205000;0000048783000;0000000144500;00578000;
20170109;CLP;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000048548000;0000049116000;0000000000000;00568000;
20170109;CNY;*;G17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046186600;0000046695980;0000000000000;00509380;
20170109;CNY;*;H17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046320670;0000046836430;0000000000000;00515760;
20170109;CNY;*;J17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046495030;0000047081730;0000000000000;00586700;
20170109;CR1;*;H7U7;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000000000;0000000000000;0000000000000;00000000;
20170109;DAP;*;F17 ;0000000000000;0000000000000;00000821;00000000;00000000;00000000;00000000;0000009983626;0000009984036;0000000000489;00000410;
20170109;DAP;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009436250;0000009433059;0000000000000;00003191;
20170109;DAP;*;G17 ;0000094862312;0000029554884;00000800;00000600;00000600;00000600;00000600;0000009934955;0000009936508;0000000001853;00001553;
20170109;DAP;*;H17 ;0000000000000;0000000000000;00000100;00000000;00000000;00000000;00000000;0000009891495;0000009892723;0000000001465;00001228;
20170109;DAP;*;K17 ;0000002342540;0000000729831;00013653;00000590;00000551;00000590;00000570;0000009811625;0000009813027;0000000001672;00001402;
