Data;Código do Contrato;Pregão;Vencimento;Volume(R$);Volume(U$);Número de contas em Aberto;Preço de Abertura;Preço Mínimo;Preço Máximo;Último Preço;Preço de Ajuste Atual; Preço de Ajuste Anterior;Valor de Ajuste por Contrato;Variação
20170725;AUD;*;Q17 ;0000132889050;0000042112134;00001430;02511500;02511500;02517300;02517300;0000025163530;0000024967570;0000000117576;00195960;
20170725;AUD;*;U17 ;0000000000000;0000000000000;00000210;00000000;00000000;00000000;00000000;0000025314360;0000025110030;0000000122598;00204330;
20170725;AUD;*;V17 ;0000118156920;0000037443567;00000011;02541100;02541000;02541100;02541000;0000025420930;0000025217190;0000000122244;00203740;
20170725;BGI;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000013183;0000000013203;0000000000000;00000020;
20170725;BGI;*;K18 ;0000001819356;0000000575218;00000095;00013448;00013400;00013448;00013400;0000000013489;0000000013472;0000000005610;00000017;
20170725;BGI;*;N17 ;0000033029746;0000010442868;00001593;00012500;00012365;00012500;00012440;0000000012418;0000000012508;0000000029700;00000090;
20170725;BGI;*;Q17 ;0000011856867;0000003748733;00000667;00012980;00012850;00012980;00012850;0000000012850;0000000013000;0000000049500;00000150;
20170725;BGI;*;U17 ;0000000086988;0000000027503;00000132;00013181;00013179;00013181;00013179;0000000013175;0000000013152;0000000007590;00000023;
20170725;BGI;*;V17 ;0000069548087;0000021988709;00004865;00013450;00013365;00013452;00013390;0000000013388;0000000013445;0000000018810;00000057;
20170725;BGI;*;V18 ;0000000137511;0000000043476;00000055;00013890;00013890;00013890;00013890;0000000013993;0000000013945;0000000015840;00000048;
20170725;BGI;*;X17 ;0000000221017;0000000069878;00000148;00013395;00013395;00013395;00013395;0000000013396;0000000013453;0000000018810;00000057;
20170725;BGI;*;Z17 ;0000000000000;0000000000000;00000003;00000000;00000000;00000000;00000000;0000000013410;0000000013467;0000000018810;00000057;
20170725;BRI;*;Q17 ;0000000330330;0000000104681;00000981;00011011;00011011;00011011;00011011;0000000011009;0000000010913;0000000096000;00000096;
20170725;BRI;*;V17 ;0000000000000;0000000000000;00000016;00000000;00000000;00000000;00000000;0000000011159;0000000011063;0000000096000;00000096;
20170725;BSE;*;N17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000032269;0000000032269;0000000000000;00000000;
20170725;BSE;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000032549;0000000032549;0000000000000;00000000;
20170725;CAD;*;Q17 ;0000022060620;0000006990943;00000256;02535000;02535000;02536400;02536400;0000025339530;0000025205910;0000000080172;00133620;
20170725;CAD;*;U17 ;0000000000000;0000000000000;00000210;00000000;00000000;00000000;00000000;0000025509010;0000025373130;0000000081528;00135880;
20170725;CAD;*;V17 ;0000010773840;0000003414197;00000765;02565200;02565200;02565200;02565200;0000025634420;0000025500010;0000000080646;00134410;
20170725;CCM;*;F18 ;0000001045368;0000000330509;00002373;00002880;00002860;00002880;00002869;0000000002847;0000000002845;0000000000900;00000002;
20170725;CCM;*;H18 ;0000000013234;0000000004184;00000379;00002941;00002941;00002941;00002941;0000000002974;0000000002995;0000000009450;00000021;
20170725;CCM;*;K18 ;0000000065430;0000000020687;00000008;00002908;00002908;00002908;00002908;0000000002880;0000000002900;0000000009000;00000020;
20170725;CCM;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002896;0000000002915;0000000000000;00000019;
20170725;CCM;*;U17 ;0000029301043;0000009263980;00019521;00002615;00002599;00002640;00002601;0000000002602;0000000002610;0000000003600;00000008;
20170725;CCM;*;U18 ;0000000000000;0000000000000;00000091;00000000;00000000;00000000;00000000;0000000002915;0000000002934;0000000008550;00000019;
20170725;CCM;*;X17 ;0000003582576;0000001132687;00001789;00002805;00002779;00002813;00002780;0000000002795;0000000002804;0000000004050;00000009;
20170725;CCM;*;X18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000002982;0000000003001;0000000000000;00000019;
20170725;CHF;*;Q17 ;0000000000000;0000000000000;00000215;00000000;00000000;00000000;00000000;0000033330030;0000033318090;0000000005970;00011940;
20170725;CHF;*;U17 ;0000000000000;0000000000000;00000160;00000000;00000000;00000000;00000000;0000033607530;0000033599590;0000000003970;00007940;
20170725;CHF;*;V17 ;0000000000000;0000000000000;00000355;00000000;00000000;00000000;00000000;0000033825640;0000033816270;0000000004685;00009370;
20170725;CLP;*;Q17 ;0000000000000;0000000000000;00000181;00000000;00000000;00000000;00000000;0000048726000;0000048339000;0000000096750;00387000;
20170725;CLP;*;U17 ;0000011131347;0000003527490;00000425;04892900;04892900;04892900;04892900;0000048945000;0000048609000;0000000084000;00336000;
20170725;CLP;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000049120000;0000048790000;0000000000000;00330000;
20170725;CNY;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000046940230;0000046658740;0000000000000;00281490;
20170725;CNY;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000047157890;0000046893120;0000000000000;00264770;
20170725;CNY;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000047284580;0000047012330;0000000000000;00272250;
20170725;CR1;*;U7Z7;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000000000000;0000000000000;0000000000000;00000000;
20170725;DAP;*;F18 ;0000000000000;0000000000000;00043675;00000000;00000000;00000000;00000000;0000009844660;0000009843062;0000000001931;00001598;
20170725;DAP;*;F19 ;0000000000000;0000000000000;00000200;00000000;00000000;00000000;00000000;0000009445999;0000009450368;0000000005279;00004369;
20170725;DAP;*;K19 ;0000095908732;0000030393184;00055450;00000398;00000391;00000398;00000391;0000009338019;0000009331695;0000000007642;00006324;
20170725;DAP;*;K21 ;0000000000000;0000000000000;00026238;00000000;00000000;00000000;00000000;0000008349557;0000008359839;0000000012424;00010282;
20170725;DAP;*;K23 ;0000000451633;0000000143121;00012753;00000517;00000517;00000517;00000517;0000007458422;0000007475830;0000000021036;00017408;
20170725;DAP;*;Q17 ;0000000000000;0000000000000;00001580;00000000;00000000;00000000;00000000;0000009963867;0000009964272;0000000000489;00000405;
20170725;DAP;*;Q18 ;0000094145441;0000029834403;00087560;00000377;00000377;00000377;00000377;0000009618317;0000009617198;0000000001352;00001119;
20170725;DAP;*;Q20 ;0000000000000;0000000000000;00016095;00000000;00000000;00000000;00000000;0000008709011;0000008710366;0000000001637;00001355;
20170725;DAP;*;Q22 ;0000209680328;0000066447055;00021708;00000507;00000507;00000512;00000511;0000007784216;0000007792763;0000000010328;00008547;
20170725;DAP;*;Q24 ;0000000000000;0000000000000;00009270;00000000;00000000;00000000;00000000;0000006979559;0000007003847;0000000029349;00024288;
20170725;DAP;*;Q26 ;0000000000000;0000000000000;00004004;00000000;00000000;00000000;00000000;0000006250905;0000006278590;0000000033454;00027685;
20170725;DAP;*;Q30 ;0000000000000;0000000000000;00000235;00000000;00000000;00000000;00000000;0000005040175;0000005053271;0000000015825;00013096;
20170725;DAP;*;U17 ;0000000000000;0000000000000;00001500;00000000;00000000;00000000;00000000;0000009935580;0000009934745;0000000001009;00000835;
20170725;DAP;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009880050;0000009879119;0000000000000;00000931;
20170725;DCO;*;F18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009962130;0000009904074;0000000000000;00058056;
20170725;DCO;*;F19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009706429;0000009653814;0000000000000;00052615;
20170725;DCO;*;F20 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009382315;0000009333380;0000000000000;00048935;
20170725;DCO;*;F21 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009019055;0000008974927;0000000000000;00044128;
20170725;DCO;*;F22 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008627055;0000008583969;0000000000000;00043086;
20170725;DCO;*;F23 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008224967;0000008185450;0000000000000;00039517;
20170725;DCO;*;F24 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000007814779;0000007778527;0000000000000;00036252;
20170725;DCO;*;F25 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000007389126;0000007351762;0000000000000;00037364;
20170725;DCO;*;F26 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000007001848;0000006967015;0000000000000;00034833;
20170725;DCO;*;F27 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000006606474;0000006578213;0000000000000;00028261;
20170725;DCO;*;F28 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000006251385;0000006225189;0000000000000;00026196;
20170725;DCO;*;F29 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000005906613;0000005886322;0000000000000;00020291;
20170725;DCO;*;F30 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000005586121;0000005563434;0000000000000;00022687;
20170725;DCO;*;G18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009945650;0000009888128;0000000000000;00057522;
20170725;DCO;*;H18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009927529;0000009870518;0000000000000;00057011;
20170725;DCO;*;J18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009906753;0000009849652;0000000000000;00057101;
20170725;DCO;*;J19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009634608;0000009583439;0000000000000;00051169;
20170725;DCO;*;J20 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009300509;0000009252769;0000000000000;00047740;
20170725;DCO;*;J21 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008934390;0000008891329;0000000000000;00043061;
20170725;DCO;*;J22 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008538980;0000008496760;0000000000000;00042220;
20170725;DCO;*;K18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009885797;0000009829180;0000000000000;00056617;
20170725;DCO;*;M18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009864503;0000009807535;0000000000000;00056968;
20170725;DCO;*;N18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009843828;0000009788202;0000000000000;00055626;
20170725;DCO;*;N19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009554069;0000009506161;0000000000000;00047908;
20170725;DCO;*;N20 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009207613;0000009161087;0000000000000;00046526;
20170725;DCO;*;N21 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008839186;0000008794123;0000000000000;00045063;
20170725;DCO;*;N22 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008437355;0000008396041;0000000000000;00041314;
20170725;DCO;*;Q17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000010057377;0000009996642;0000000000000;00060735;
20170725;DCO;*;U17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000010038996;0000009979500;0000000000000;00059496;
20170725;DCO;*;V17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000010019203;0000009960199;0000000000000;00059004;
20170725;DCO;*;V18 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009777728;0000009722446;0000000000000;00055282;
20170725;DCO;*;V19 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009472941;0000009424709;0000000000000;00048232;
20170725;DCO;*;V20 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009113084;0000009070436;0000000000000;00042648;
20170725;DCO;*;V21 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000008747901;0000008703781;0000000000000;00044120;
20170725;DCO;*;X17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000010000000;0000009941493;0000000000000;00058507;
20170725;DCO;*;Z17 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000009981758;0000009923515;0000000000000;00058243;
20170725;DDI;*;F18 ;0000000000000;0000000000000;00443687;00000000;00000000;00000000;00000000;0000009962574;0000009904515;0000000091323;00058059;
20170725;DDI;*;F19 ;0000000000000;0000000000000;00124077;00000000;00000000;00000000;00000000;0000009707806;0000009655185;0000000082770;00052621;
20170725;DDI;*;F20 ;0000000000000;0000000000000;00099710;00000000;00000000;00000000;00000000;0000009384494;0000009335550;0000000076986;00048944;
20170725;DDI;*;F21 ;0000000000000;0000000000000;00088697;00000000;00000000;00000000;00000000;0000009021901;0000008977762;0000000069428;00044139;
20170725;DDI;*;F22 ;0000000000000;0000000000000;00035424;00000000;00000000;00000000;00000000;0000008630411;0000008587312;0000000067792;00043099;
20170725;DDI;*;F23 ;0000000000000;0000000000000;00030096;00000000;00000000;00000000;00000000;0000008228703;0000008189172;0000000062180;00039531;
20170725;DDI;*;F24 ;0000000000000;0000000000000;00034535;00000000;00000000;00000000;00000000;0000007818771;0000007782506;0000000057043;00036265;
20170725;DDI;*;F25 ;0000000000000;0000000000000;00021115;00000000;00000000;00000000;00000000;0000007393251;0000007355868;0000000058801;00037383;
20170725;DDI;*;F26 ;0000000000000;0000000000000;00013860;00000000;00000000;00000000;00000000;0000007006049;0000006971199;0000000054817;00034850;
20170725;DDI;*;F27 ;0000000000000;0000000000000;00011400;00000000;00000000;00000000;00000000;0000006610660;0000006582387;0000000044472;00028273;
20170725;DDI;*;F28 ;0000000000000;0000000000000;00000110;00000000;00000000;00000000;00000000;0000006259676;0000006233461;0000000041234;00026215;
20170725;DDI;*;F29 ;0000000000000;0000000000000;00000000;00000000;00000000;00000000;00000000;0000005914724;0000005894426;0000000000000;00020298;
20170725;DDI;*;F30 ;0000000000000;0000000000000;00000500;00000000;00000000;00000000;00000000;0000005594009;0000005571306;0000000035710;00022703;
20170725;DDI;*;G18 ;0000000000000;0000000000000;00052890;00000000;00000000;00000000;00000000;0000009946175;0000009888650;0000000090483;00057525;
20170725;DDI;*;H18 ;0000000000000;0000000000000;00026099;00000000;00000000;00000000;00000000;0000009928129;0000009871114;0000000089681;00057015;
20170725;DDI;*;J18 ;0000000000000;0000000000000;00117139;00000000;00000000;00000000;00000000;0000009907437;0000009850331;0000000089824;00057106;
20170725;DDI;*;J19 ;0000000000000;0000000000000;00049450;00000000;00000000;00000000;00000000;0000009636194;0000009585018;0000000080497;00051176;
20170725;DDI;*;J20 ;0000000000000;0000000000000;00028292;00000000;00000000;00000000;00000000;0000009302866;0000009255116;0000000075108;00047750;
20170725;DDI;*;J21 ;0000000000000;0000000000000;00006237;00000000;00000000;00000000;00000000;0000008937376;0000008894303;0000000067751;00043073;
20170725;DDI;*;J22 ;0000000000000;0000000000000;00000640;00000000;00000000;00000000;00000000;0000008542447;0000008500212;0000000066433;00042235;
20170725;DDI;*;K18 ;0000000000000;0000000000000;00026220;00000000;00000000;00000000;00000000;0000009886560;0000009829938;0000000089063;00056622;
20170725;DDI;*;M18 ;0000000000000;0000000000000;00018220;00000000;00000000;00000000;00000000;0000009865344;0000009808371;0000000089615;00056973;
20170725;DDI;*;N18 ;0000000000000;0000000000000;00120367;00000000;00000000;00000000;00000000;0000009844748;0000009789117;0000000087504;00055631;
20170725;DDI;*;N19 ;0000000000000;0000000000000;00055874;00000000;00000000;00000000;00000000;0000009555860;0000009507944;0000000075369;00047916;
20170725;DDI;*;N20 ;0000000000000;0000000000000;00047956;00000000;00000000;00000000;00000000;0000009210139;0000009163602;0000000073200;00046537;
20170725;DDI;*;N21 ;0000000000000;0000000000000;00006320;00000000;00000000;00000000;00000000;0000008842306;0000008797229;0000000070903;00045077;
