0000020010120140108PRACF2*G14 19441520140217000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000005361 +0000000005410 00000000000000000000000000000000000000000000000000000002200000009-00000049-0000000000000000000000000000000000000000000000280004000028    0000000000000000000000000000000000000                    ACFG14              EMERC2014021720140218+0000000005059+0000000005761
0000040010120140108PRACF2*J14 19441520140415000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000005377 +0000000005426 00000000000000000000000000000000000000000000000000000002200000009-00000049-0000000000000000000000000000000000000000000000670009700067    0000000000000000000000000000000000000                    ACFJ14              EMERC2014041520140416+0000000005074+0000000005778
0000060010120140108PRACF2*M14 19441520140616000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000005369 +0000000005419 00000000000000000000000000000000000000000000000000000002200000009-00000050-0000000000000000000000000000000000000000000001080015900108    0000000000000000000000000000000000000                    ACFM14              EMERC2014061620140617+0000000005067+0000000005771
0000080010120140108PRACF2*U14 19441520140915000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000005475 +0000000005525 00000000000000000000000000000000000000000000000000000002200000009-00000050-0000000000000000000000000000000000000000000001720025000171    0000000000000000000000000000000000000                    ACFU14              EMERC2014091520140916+0000000005166+0000000005884
0000100010120140108PRACF2*Z14 19441520141215000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000005625 +0000000005666 00000000000000000000000000000000000000000000000000000002200000007-00000041-0000000000000000000000000000000000000000000002370034100235    0000000000000000000000000000000000000                    ACFZ14              EMERC2014121520141216+0000000005298+0000000006034
0000120010120140108PRAUD2*G14 19441520140203000000000000000006000000000000256888477000010803165700001278000000070000201000000+0000000000000+00000000+02130196+02126000+02140000+0213008700005+0214000017030020140108+02115000+00000000+0000021366050S+0000021259370 00000000640080000000000000000000000000000000000000000003400000005+00106680+0000000000000000000000000000000000000000000000180002600018    0000000000000000000000000000000000001                    AUDG14              EMERC2014013120140203+0000001998381+0000002253493
0000140010120140108PRAUD2*H14 19441520140305000000000000000006000000000000012894189000000542251100000100000000020000010000000+0000000000000+00000000+02145314+02145314+02152749+0214903200050+0215274917500020140108+02131986+00000000+0000021464320S+0000021359240 00000000630480000000000000000000000000000000000000000003400000005+00105080+0000000000000000000000000000000000000000000000380005600038    0000000000000000000000000000000000002                    AUDH14              EMERC2014022820140305+0000002007769+0000002264079
0000160010120140108PRAUD2*J14 19441520140401000000000000000006000000000000000000000000000000000000001949000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020140102+02159304+00000000+0000021559220S+0000021452350 00000000641220000000000000000000000000000000000000000003400000005+00106870+0000000000000000000000000000000000000000000000570008300057    0000000000000000000000000000000000003                    AUDJ14              EMERC2014033120140401+0000002016521+0000002273949
0000180010120140108PRAUD2*K14 19441520140502000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021645140 +0000021540860 00000000000000000000000000000000000000000000000000000003400000005+00104280+0000000000000000000000000000000000000000000000770011400077    0000000000000000000000000000000000004                    AUDK14              EMERC2014043020140502+0000002024841+0000002283331
0000200010120140108PRAUD2*M14 19441520140602000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021742960 +0000021639920 00000000000000000000000000000000000000000000000000000003400000005+00103040+0000000000000000000000000000000000000000000000980014500098    0000000000000000000000000000000000005                    AUDM14              EMERC2014053020140602+0000002034153+0000002293831
0000220010120140108PRAUD2*N14 19441520140701000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000021832370 +0000021729800 00000000000000000000000000000000000000000000000000000003400000005+00102570+0000000000000000000000000000000000000000000001180017400118    0000000000000000000000000000000000006                    AUDN14              EMERC2014063020140701+0000002042602+0000002303358
